Name,Week,FixtureIds,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Fabio Vieira,33,321,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel,33,321,0,90,0,0,0,0.01,0,2,1.13,0,0,10
Havertz,33,321,1,90,0,0,0.19,0.29,0,2,1.13,0,0,1
G.Jesus,33,321,2,78,0,0,0.24,0.58,1,0,0.4,0,0,8
Jorginho,33,321,1,11,0,0,0,0.03,0,2,0.73,0,0,3
Kiwior,33,321,0,0,0,0,0,0,0,0,0,0,0,0
Martinelli,33,321,1,23,0,0,0,0.01,0,2,0.73,0,0,4
Nketiah,33,321,1,3,0,0,0,0,0,0,0,0,0,0
Odegaard,33,321,3,78,0,0,0.15,0.14,1,0,0.4,0,0,14
Thomas,33,321,0,0,0,0,0,0,0,0,0,0,0,0
Ramsdale,33,321,0,0,0,0,0,0,0,0,0,0,0,0
Saka,33,321,2,90,0,0,0.54,0.27,0,2,1.13,0,0,15
Saliba,33,321,1,90,0,0,0,0.01,0,2,1.13,0,0,13
Smith Rowe,33,321,1,11,0,0,0,0,0,2,0.73,0,0,3
Tavares,33,329,1,1,0,0,0,0,0,0,0,0,0,4
Tomiyasu,33,321,0,23,0,0,0,0.04,0,2,0.73,0,0,3
Trossard,33,321,3,66,0,0,0.53,0.07,1,0,0.4,0,0,3
Turner,33,329,0,0,0,0,0,0,0,0,0,0,0,0
White,33,321,5,66,0,0,0,0.03,1,0,0.4,0,0,21
Zinchenko,33,321,1,86,0,0,0.07,0.03,0,2,1.13,0,0,17
Archer,33,323,1,14,0,0,0.11,0.01,0,1,0.36,0,0,3
Bailey,33,321,6,29,1,0,0.42,0,0,0,0.1,0,0,23
Cash,33,321,0,0,0,0,0,0,0,0,0,0,0,0
Coutinho,33,321,0,0,0,0,0,0,0,0,0,0,0,0
Diego Carlos,33,321,6,90,0,0,0,0.01,1,0,1.62,0,0,25
Digne,33,321,12,90,0,1,0.09,0.04,1,0,1.62,0,3,38
Douglas Luiz,33,321,0,0,0,0,0,0,0,0,0,0,0,0
Duran,33,321,0,0,0,0,0,0,0,0,0,0,0,0
Kamara,33,321,0,0,0,0,0,0,0,0,0,0,0,0
Konsa,33,321,6,90,0,0,0,0.01,1,0,1.62,0,0,23
Martinez,33,321,9,90,0,0,0,0,1,0,1.62,4,2,31
McGinn,33,321,3,90,0,0,0.03,0.02,1,0,1.62,0,0,15
Mings,33,321,0,0,0,0,0,0,0,0,0,0,0,0
Nakamba,33,327,0,0,0,0,0,0,0,0,0,0,0,0
Olsen,33,321,0,0,0,0,0,0,0,0,0,0,0,0
Tielemans,33,321,6,90,0,1,0.02,0.02,1,0,1.62,0,0,23
Bertrand Traore,33,321,0,0,0,0,0,0,0,0,0,0,0,0
Watkins,33,321,7,90,1,0,0.41,0.01,1,0,1.62,0,1,27
Billing,33,322,0,0,0,0,0,0,0,0,0,0,0,0
Brooks,33,322,0,0,0,0,0,0,0,0,0,0,0,0
Christie,33,322,1,90,0,0,0.11,0.2,0,2,1.18,0,0,12
L.Cook,33,322,1,90,0,0,0,0.04,0,2,1.18,0,0,9
Kelly,33,322,1,51,0,0,0,0.09,0,1,0.87,0,0,5
Kluivert,33,322,7,75,1,0,0.48,0.11,0,2,1.15,0,0,20
Lowe,33,322,0,0,0,0,0,0,0,0,0,0,0,0
Mepham,33,322,0,0,0,0,0,0,0,0,0,0,0,0
Moore,33,322,0,0,0,0,0,0,0,0,0,0,0,0
N.Neto,33,322,0,90,0,0,0,0,0,2,1.18,0,0,5
Rothwell,33,322,0,0,0,0,0,0,0,0,0,0,0,0
Semenyo,33,322,0,0,0,0,0,0,0,0,0,0,0,0
Senesi,33,322,8,90,0,2,0,0.04,0,2,1.18,0,2,34
Solanke,33,322,7,90,1,0,0.26,0.1,0,2,1.18,0,1,32
Tavernier,33,322,0,0,0,0,0,0,0,0,0,0,0,0
Hamed Traorè,33,322,0,0,0,0,0,0,0,0,0,0,0,0
Zabarnyi,33,322,1,90,0,0,0,0.01,0,2,1.18,0,0,14
Ajer,33,323,0,0,0,0,0,0,0,0,0,0,0,0
Collins,33,323,6,90,0,0,0,0.01,1,0,0.84,0,0,23
Damsgaard,33,323,6,78,0,1,0.04,0.01,1,0,0.73,0,0,16
Dasilva,33,323,0,0,0,0,0,0,0,0,0,0,0,0
Flekken,33,323,7,90,0,0,0,0,1,0,0.84,2,1,25
Henry,33,323,0,0,0,0,0,0,0,0,0,0,0,0
Hickey,33,323,0,0,0,0,0,0,0,0,0,0,0,0
Janelt,33,323,2,90,0,0,0.04,0.01,1,0,0.84,0,0,10
Jensen,33,323,3,90,0,0,0.02,0.14,1,0,0.84,0,0,12
Lewis-Potter,33,323,1,11,0,0,0.03,0.01,0,0,0.11,0,0,5
Mbeumo,33,323,3,89,0,0,0,0.24,1,0,0.84,0,0,15
Mee,33,323,0,0,0,0,0,0,0,0,0,0,0,0
Norgaard,33,323,0,0,0,0,0,0,0,0,0,0,0,0
Onyeka,33,323,6,1,1,0,0.29,0,0,0,0,0,0,21
Pinnock,33,323,1,1,0,0,0,0,0,0,0,0,0,3
Raya,33,321,1,90,0,0,0,0.01,0,2,1.13,0,0,8
Schade,33,323,4,1,0,1,0,0.35,0,0,0,0,0,16
Toney,33,323,0,0,0,0,0,0,0,0,0,0,0,0
Wissa,33,323,2,89,0,0,0.07,0.01,1,0,0.84,0,0,2
Adingra,33,324,2,76,0,0,0.27,0.11,0,1,1.65,0,0,5
Caicedo,33,325,3,90,0,0,0.03,0.02,1,0,1.41,0,0,13
Dahoud,33,324,0,0,0,0,0,0,0,0,0,0,0,0
Dunk,33,324,3,90,0,0,0,0.01,0,1,1.7,0,1,18
Enciso,33,324,0,0,0,0,0,0,0,0,0,0,0,0
Estupinan,33,324,1,12,0,0,0,0,0,0,0.06,0,0,3
