Id,Name,Team,Position,Price,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointRating,PointsInLastFive,MinutesInLastFive,GoalsInLastFive,xGoalsInLastFive,xAssistsInLastFive,CleanSheetsInLastFive,GoalsConcededInLastFive,xGoalsConcededInLastFive,SavesInLastFive,BonusPointsInLastFive,BonusPointsRatingInLastFive,Opponent,OpponentGoalsScored,OpponentGoalsConceded,OpponentGoalsScoredInLastFive,OpponentGoalsConcededInLastFive
4,Fabio Vieira,Arsenal,Midfielder,5.4,31,22,281,1,3,1.2,0.5800000000000001,1,2,1.6800000000000002,0,0,65,1,45,0,0,0.23,0,0,0.2,0,0,3,Luton,9,16,0,0
5,Gabriel,Arsenal,Defender,4.7,31,102,2084,3,1,3.1100000000000003,0.51,9,20,16.740000000000002,0,6,463,25,450,0,1,0.12,3,2,1.27,0,0,112,Luton,9,16,0,0
6,Havertz,Arsenal,Midfielder,7.2,31,103,1683,7,5,7.380000000000001,1.7200000000000002,9,16,11.87,0,7,288,47,428,4,3.17,0.5,4,1,1.12,0,7,127,Luton,9,16,0,0
8,G.Jesus,Arsenal,Forward,7.9,31,64,1117,4,4,5.35,2.13,7,11,9.579999999999998,0,10,212,1,26,0,0.05,0.12,0,0,0.11,0,0,2,Luton,9,16,0,0
9,Jorginho,Arsenal,Midfielder,5.4,31,28,654,0,1,0.09999999999999999,0.9,2,8,5.73,0,0,125,8,253,0,0,0.39,1,2,0.85,0,0,40,Luton,9,16,0,0
10,Kiwior,Arsenal,Defender,4.4,31,51,707,1,3,0.74,0.5,4,7,3.2900000000000005,0,1,200,36,405,3,0.37,0.42000000000000004,3,1,1.1700000000000002,0,1,130,Luton,9,16,0,0
12,Martinelli,Arsenal,Midfielder,7.8,31,107,1748,6,5,5.17,4.4799999999999995,10,18,11.73,0,6,356,33,365,2,1.9300000000000002,1.5499999999999998,4,1,0.9199999999999999,0,3,94,Luton,9,16,0,0
13,Nketiah,Arsenal,Forward,5.5,31,68,1037,5,4,4.5200000000000005,0.5200000000000001,6,10,9.890000000000002,0,5,205,3,58,0,0.33,0.05,0,1,0.35000000000000003,0,0,7,Luton,9,16,0,0
14,Odegaard,Arsenal,Midfielder,8.5,31,126,2124,6,7,5.42,6.7,11,19,16.68,0,18,494,38,435,3,1.0899999999999999,1.83,4,1,1.2,0,6,155,Luton,9,16,0,0
15,Thomas,Arsenal,Midfielder,4.8,31,8,275,0,0,0.07,0.25,1,2,2.64,0,0,65,1,25,0,0,0.04,0,0,0.11,0,0,7,Luton,9,16,0,0
