Name,Week,FixtureIds,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Fabio Vieira,12,111,-2,23,0,0,0,0,0,0,0.07,0,0,-7
Gabriel,12,111,2,90,0,0,0.14,0.03,0,1,0.3,0,0,10
Havertz,12,111,1,58,0,0,0.36,0.05,0,1,0.26,0,0,0
G.Jesus,12,111,0,0,0,0,0,0,0,0,0,0,0,0
Jorginho,12,111,2,90,0,0,0,0.05,0,1,0.3,0,0,13
Kiwior,12,111,1,1,0,0,0,0,0,0,0.05,0,0,3
Martinelli,12,111,2,88,0,0,0.09,0.21,0,1,0.3,0,0,10
Nketiah,12,111,1,9,0,0,0,0,0,0,0.03,0,0,2
Odegaard,12,111,0,0,0,0,0,0,0,0,0,0,0,0
Thomas,12,111,0,0,0,0,0,0,0,0,0,0,0,0
Ramsdale,12,111,0,0,0,0,0,0,0,0,0,0,0,0
Saka,12,111,5,80,0,1,0.15,0.4,0,1,0.27,0,0,20
Saliba,12,111,9,90,1,0,0.64,0.03,0,1,0.3,0,1,27
Smith Rowe,12,111,0,0,0,0,0,0,0,0,0,0,0,0
Tavares,12,119,0,0,0,0,0,0,0,0,0,0,0,0
Tomiyasu,12,111,2,90,0,0,0.02,0.1,0,1,0.3,0,0,13
Trossard,12,111,13,80,1,1,0.55,0.23,0,1,0.27,0,3,36
Turner,12,119,0,0,0,0,0,0,0,0,0,0,0,0
White,12,111,0,0,0,0,0,0,0,0,0,0,0,0
Zinchenko,12,111,10,90,1,0,0.04,0.24,0,1,0.3,0,2,28
Archer,12,114,2,90,0,0,0,0.15,0,1,1.54,0,0,12
Bailey,12,112,4,28,0,1,0.06,0.61,0,1,0.56,0,0,17
Cash,12,112,2,90,0,0,0.16,0,0,1,0.93,0,0,13
Coutinho,12,112,0,0,0,0,0,0,0,0,0,0,0,0
Diego Carlos,12,112,0,0,0,0,0,0,0,0,0,0,0,0
Digne,12,112,2,90,0,0,0,0.19,0,1,0.93,0,0,12
Douglas Luiz,12,112,2,90,0,0,0,0.04,0,1,0.93,0,0,13
Duran,12,112,0,0,0,0,0,0,0,0,0,0,0,0
Kamara,12,112,2,90,0,0,0.03,0.02,0,1,0.93,0,0,10
Konsa,12,112,1,90,0,0,0,0,0,1,0.93,0,0,11
Martinez,12,112,3,90,0,0,0,0,0,1,0.93,4,0,19
McGinn,12,112,10,90,1,0,0.13,0.14,0,1,0.93,0,3,37
Mings,12,112,0,0,0,0,0,0,0,0,0,0,0,0
Nakamba,12,118,2,85,0,0,0,0,0,1,2.01,0,0,5
Olsen,12,112,0,0,0,0,0,0,0,0,0,0,0,0
Tielemans,12,112,2,90,0,0,0.08,0.38,0,1,0.93,0,0,13
Bertrand Traore,12,112,0,0,0,0,0,0,0,0,0,0,0,0
Watkins,12,112,6,90,1,0,1.91,0.08,0,1,0.93,0,1,22
Billing,12,113,0,0,0,0,0,0,0,0,0,0,0,0
Brooks,12,113,0,0,0,0,0,0,0,0,0,0,0,0
Christie,12,113,3,90,0,0,0.13,0.2,1,0,0.51,0,0,14
L.Cook,12,113,2,90,0,0,0,0.07,1,0,0.51,0,0,16
Kelly,12,113,7,90,0,0,0,0.01,1,0,0.51,0,1,26
Kluivert,12,113,3,67,0,0,0.03,0.01,1,0,0.3,0,0,6
Lowe,12,113,0,0,0,0,0,0,0,0,0,0,0,0
Mepham,12,113,0,0,0,0,0,0,0,0,0,0,0,0
Moore,12,113,0,0,0,0,0,0,0,0,0,0,0,0
N.Neto,12,113,9,90,0,0,0,0,1,0,0.51,5,2,31
Rothwell,12,113,1,1,0,0,0,0,0,0,0,0,0,3
Semenyo,12,113,2,80,0,0,0.22,0.01,1,0,0.43,0,0,2
Senesi,12,113,5,90,0,0,0,0.01,1,0,0.51,0,0,24
Solanke,12,113,13,90,2,0,1.18,0.13,1,0,0.51,0,3,60
Tavernier,12,113,3,90,0,0,0.22,0.08,1,0,0.51,0,0,18
Hamed Traorè,12,113,0,0,0,0,0,0,0,0,0,0,0,0
Zabarnyi,12,113,6,90,0,0,0,0.01,1,0,0.51,0,0,24
Ajer,12,117,0,90,0,0,0,0.03,0,3,1.53,0,0,3
Collins,12,117,1,90,0,0,0.1,0.05,0,3,1.53,0,0,14
Damsgaard,12,117,0,0,0,0,0,0,0,0,0,0,0,0
Dasilva,12,117,0,0,0,0,0,0,0,0,0,0,0,0
Flekken,12,117,3,90,0,0,0,0,0,3,1.53,8,0,27
Henry,12,117,0,0,0,0,0,0,0,0,0,0,0,0
Hickey,12,117,0,0,0,0,0,0,0,0,0,0,0,0
Janelt,12,117,1,45,0,0,0,0.01,0,1,1.25,0,0,6
Jensen,12,117,2,71,0,0,0.06,0.03,0,2,1.43,0,0,11
Lewis-Potter,12,117,0,0,0,0,0,0,0,0,0,0,0,0
Mbeumo,12,117,2,90,0,0,0.55,0.47,0,3,1.53,0,0,1
Mee,12,117,1,90,0,0,0.06,0.24,0,3,1.53,0,0,11
