Id,Name,Team,Position,Price,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointRating,PointsInLastFive,MinutesInLastFive,GoalsInLastFive,xGoalsInLastFive,xAssistsInLastFive,CleanSheetsInLastFive,GoalsConcededInLastFive,xGoalsConcededInLastFive,SavesInLastFive,BonusPointsInLastFive,BonusPointsRatingInLastFive,Opponent,OpponentGoalsScored,OpponentGoalsConceded,OpponentGoalsScoredInLastFive,OpponentGoalsConcededInLastFive,ActualPoints
508,Reguilon,ManUtd,Defender,4.4,27,40,916,0,3,0.74,1.3000000000000003,3,20,16.81,0,5,184,21,491,3,0.54,0.69,1,13,10.63,0,3,93,ManCity,8,2,0,0,4
597,A.Onana,Everton,Midfielder,4.9,27,94,2430,0,0,0,0.05,7,39,47.30000000000001,98,6,520,19,450,0,0,0.02,1,7,10.35,23,1,106,WestHam,7,14,0,0,2
617,Hojlund,ManUtd,Forward,7.1,27,78,1463,7,2,5.91,0.69,5,20,25.82,0,10,245,27,262,0,2.2100000000000004,0.10000000000000002,1,2,5.740000000000002,0,5,110,ManCity,8,2,0,0,0
709,Amrabat,ManUtd,Midfielder,5,27,17,623,0,0,0.05,0.22999999999999998,1,9,11.29,0,0,83,3,13,0,3.469446951953614E-18,-1.0408340855860843E-17,0,1,0.22999999999999954,0,0,7,ManCity,8,2,0,0,1
402,Almiron,Newcastle,Midfielder,6.3,27,71,1767,3,1,4.47,1.9900000000000002,5,35,36.41,0,4,256,8,294,0,0.43000000000000016,0.30999999999999983,0,10,7.930000000000003,0,0,29,Wolves,7,8,0,0,1
403,Anderson,Newcastle,Midfielder,4.4,27,20,408,0,1,0.78,0.31,3,5,4.57,0,0,68,1,1,0,2.7755575615628914E-17,-2.7755575615628914E-17,0,0,-3.885780586188048E-16,0,0,3,Wolves,7,8,0,0,1
405,Botman,Newcastle,Defender,4.7,27,50,1285,2,2,0.57,0.51,3,26,29.91,0,4,285,8,432,1,-2.7755575615628914E-17,0.07000000000000005,1,12,9.270000000000001,0,0,77,Wolves,7,8,0,0,6
406,Bruno G.,Newcastle,Midfielder,5.8,27,88,2284,3,5,2.6999999999999997,4.32,8,43,44.72,0,6,423,30,432,2,0.6000000000000003,1.51,1,12,9.270000000000001,0,3,125,Wolves,7,8,0,0,6
407,Burn,Newcastle,Defender,4.5,27,73,1757,2,2,2.6099999999999994,0.9800000000000002,6,29,33.17,0,4,343,13,330,1,0.4300000000000001,0.51,1,8,7.129999999999997,0,2,74,Wolves,7,8,0,0,8
415,Isak,Newcastle,Forward,7.6,27,89,1310,11,0,10.799999999999995,1.3,4,25,30.11,0,11,337,10,132,0,0.7399999999999993,0.019999999999999858,1,2,2.639999999999999,0,2,35,Wolves,7,8,0,0,8
416,Joelinton,Newcastle,Midfielder,5.8,27,41,1133,2,1,2.2,0.6700000000000002,3,19,23.360000000000003,0,3,180,0,0,0,0,2.42861286636753E-17,0,0,8.881784197001252E-16,0,0,0,Wolves,7,8,0,0,0
421,Longstaff,Newcastle,Midfielder,4.9,27,75,1804,4,3,3.69,1.9900000000000004,7,35,38.46999999999999,0,1,299,22,450,0,0.94,0.19000000000000006,1,12,9.559999999999999,0,1,84,Wolves,7,8,0,0,3
424,Pope,Newcastle,Goalkeeper,5.5,27,56,1255,0,0,0.02,0,6,14,14.700000000000003,40,1,268,0,0,0,0,0,0,0,-8.604228440844963E-16,0,0,0,Wolves,7,8,0,0,0
427,Schar,Newcastle,Defender,5,27,96,2353,3,3,2.24,1.1900000000000002,7,45,48.48,0,10,503,22,450,2,0.25,0.15999999999999986,1,12,9.559999999999999,0,3,102,Wolves,7,8,0,0,12
428,Targett,Newcastle,Defender,4.4,27,2,77,0,0,0,0.01,0,4,1.77,0,0,15,0,0,0,0,0,0,0,0,0,0,0,Wolves,7,8,0,0,0
429,Tonali,Newcastle,Midfielder,5.5,27,16,437,1,0,0.62,0.4700000000000001,1,5,6.659999999999999,0,0,86,0,0,0,2.7755575615628914E-17,1.1622647289044608E-16,0,0,-7.771561172376096E-16,0,0,0,Wolves,7,8,0,0,0
430,Trippier,Newcastle,Defender,6.6,27,108,2163,1,10,0.6500000000000001,6.9,6,41,39,0,20,574,15,411,2,0.4000000000000001,0.63,0,12,9.029999999999998,0,0,88,Wolves,7,8,0,0,1
433,Wilson,Newcastle,Forward,7.8,27,57,855,7,1,7.499999999999999,0.30999999999999994,5,14,12.010000000000002,0,4,187,2,135,0,-2.220446049250313E-16,0.11999999999999998,0,4,2.580000000000001,0,0,0,Wolves,7,8,0,0,0
603,Barnes,Newcastle,Midfielder,6.4,27,28,352,2,1,1.2800000000000002,0.8700000000000001,1,5,5.4799999999999995,0,2,77,11,169,0,0.45,0.29000000000000004,0,3,3.4500000000000006,0,0,29,Wolves,7,8,0,0,1
23,Tavares,NottmForest,Defender,4,27,10,453,0,0,0.16,0.38,1,9,4.970000000000001,0,0,65,9,270,0,0.13,0.31,1,4,2,0,0,45,Liverpool,13,6,0,0,0
28,Turner,NottmForest,Goalkeeper,4,27,42,1530,0,0,0,0,2,28,25.43,55,0,281,0,0,0,0,0,0,0,-2.220446049250313E-15,0,0,0,Liverpool,13,6,0,0,0
205,Hudson-Odoi,NottmForest,Midfielder,4.9,27,66,1044,4,2,1.23,1.1600000000000001,2,24,17.279999999999998,0,11,216,34,449,0,0.89,0.43000000000000005,1,9,7.64,0,8,113,Liverpool,13,6,0,0,2
378,Elanga,NottmForest,Midfielder,5,27,96,1807,5,7,5.59,3,2,35,30.57,0,4,303,19,437,1,2.73,0.45000000000000007,1,9,7.639999999999997,0,0,50,Liverpool,13,6,0,0,2
436,Aurier,NottmForest,Defender,4.5,27,27,831,0,2,0.16,0.45,1,15,13.939999999999998,0,3,137,0,0,0,3.469446951953614E-18,4.163336342344337E-17,0,0,5.551115123125783E-16,0,0,0,Liverpool,13,6,0,0,0
437,Awoniyi,NottmForest,Forward,6.6,27,63,1002,6,3,4.85,0.9000000000000001,3,21,15.3,0,5,236,16,293,1,0.9099999999999999,0.49999999999999994,1,8,4.800000000000001,0,2,60,Liverpool,13,6,0,0,1
439,Boly,NottmForest,Defender,4.5,27,37,994,1,0,1.33,0.66,3,18,19.639999999999997,0,3,192,0,0,0,8.326672684688674E-17,0,0,0,-1.6653345369377348E-16,0,0,0,Liverpool,13,6,0,0,0
442,Danilo,NottmForest,Midfielder,5.3,27,35,1058,1,0,0.5800000000000001,0.6400000000000001,1,26,18.02,0,2,159,7,221,0,0.25,0.07999999999999997,1,5,4.619999999999999,0,0,43,Liverpool,13,6,0,0,0
443,Dennis,NottmForest,Forward,4.8,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Liverpool,13,6,0,0,0
447,Gibbs-White,NottmForest,Midfielder,5.9,27,84,2216,3,6,4.640000000000001,3.8299999999999996,4,42,36.88000000000001,0,4,340,16,440,1,1.2200000000000004,0.78,1,9,7.299999999999997,0,0,64,Liverpool,13,6,0,0,1
451,Kouyate,NottmForest,Midfielder,4.9,27,10,201,0,0,0.24000000000000002,0.04,0,6,5.82,0,0,30,0,0,0,0,-1.734723475976807E-18,0,0,-1.1102230246251565E-16,0,0,0,Liverpool,13,6,0,0,0
453,Mangala,NottmForest,Midfielder,5,27,40,1562,1,0,0.77,0.28,3,31,24.5,0,0,186,0,0,0,0,0,0,0,0,0,0,0,Liverpool,13,6,0,0,0
455,McKenna,NottmForest,Defender,4.5,27,12,416,0,0,0.21,0.17,1,6,5.640000000000001,0,1,64,0,0,0,-1.0408340855860843E-17,0,0,0,4.440892098500626E-16,0,0,0,Liverpool,13,6,0,0,0
457,Niakhate,NottmForest,Defender,4.5,27,25,1157,1,0,1.3,0.23000000000000004,1,29,24.28,0,1,199,7,180,0,0.93,0.009999999999999981,0,7,4.050000000000001,0,0,41,Liverpool,13,6,0,0,0
467,Williams,NottmForest,Defender,4.4,27,29,970,0,1,0.3,1.24,1,21,16.12,0,2,143,10,437,0,0.040000000000000015,0.11000000000000003,1,9,7.64,0,0,48,Liverpool,13,6,0,0,2
468,Wood,NottmForest,Forward,5,27,75,863,8,1,5.4399999999999995,0.3,1,17,14.959999999999999,0,12,293,0,0,0,-3.8163916471489756E-17,1.3877787807814457E-17,0,0,-2.220446049250313E-16,0,0,0,Liverpool,13,6,0,0,0
469,Worrall,NottmForest,Defender,4.5,27,13,438,0,0,0.1,0.31,1,9,9.01,0,3,74,0,0,0,0,0,0,0,-4.440892098500626E-16,0,0,0,Liverpool,13,6,0,0,0
470,Yates,NottmForest,Midfielder,4.9,27,34,1249,0,0,1.8400000000000003,0.45000000000000007,1,27,21.440000000000005,0,1,119,7,273,0,0.69,0.03,0,5,3.96,0,0,18,Liverpool,13,6,0,0,2
604,Aina,NottmForest,Defender,4.5,27,34,987,1,1,0.17,0.43000000000000005,2,24,18.5,0,2,162,0,0,0,6.938893903907228E-18,-1.9081958235744878E-17,0,0,1.942890293094024E-15,0,0,0,Liverpool,13,6,0,0,0
679,G.Montiel,NottmForest,Defender,4.5,27,20,495,0,2,0.09,0.27,1,7,6.200000000000001,0,3,110,1,12,0,0,0.009999999999999995,0,0,4.440892098500626E-16,0,0,2,Liverpool,13,6,0,0,0
714,Origi,NottmForest,Forward,5,27,16,330,0,1,0.28,0.5900000000000001,1,4,6.98,0,0,49,8,154,1,0.12,0.41000000000000003,1,1,2.86,0,0,28,Liverpool,13,6,0,0,2
33,Archer,SheffieldUtd,Forward,4.5,27,66,1449,4,2,3.7199999999999998,0.77,2,36,30.510000000000005,0,9,206,8,105,0,0.8900000000000001,0.049999999999999926,0,1,1.9499999999999993,0,1,30,Arsenal,24,2,0,0,0
