Name,Week,FixtureIds,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Redmond,7,66;15,0,0,0,0,0,0,0,0,0,0,0,0
Danjuma,7,63,1,6,0,0,0,0.01,0,0,0,0,0,2
Kabore,7,63;15,3,151,0,0,0,0.11,0,2,3.88,0,0,23
Barnes,7,66,0,0,0,0,0,0,0,0,0,0,0,0
Aina,7,67,0,0,0,0,0,0,0,0,0,0,0,0
Koleosho,7,66;15,4,131,0,0,0.09,0.29,1,1,2.91,0,0,12
Bruun Larsen,7,66;15,7,47,1,0,0.15,0.02,0,2,1.57,0,0,26
Maatsen,7,64,1,45,0,0,0.14,0.08,0,0,1.06,0,0,2
Bassey,7,64,0,0,0,0,0,0,0,0,0,0,0,0
Disasi,7,64,6,90,0,0,0.08,0,1,0,1.08,0,0,25
Ugochukwu,7,64,1,12,0,0,0,0,0,0,0.05,0,0,3
Kaminski,7,63;15,4,180,0,0,0,0.01,0,3,3.94,5,0,28
Gvardiol,7,70,0,0,0,0,0,0,0,0,0,0,0,0
Hojlund,7,65,2,90,0,0,0.56,0.05,0,1,0.81,0,0,0
Dobbin,7,63,0,0,0,0,0,0,0,0,0,0,0,0
Doak,7,68,0,0,0,0,0,0,0,0,0,0,0,0
Barkley,7,63;15,0,0,0,0,0,0,0,0,0,0,0,0
Brown,7,63;15,3,158,0,0,0.39,0.09,0,2,3.88,0,0,7
Vini Souza,7,69,2,90,0,0,0.09,0.03,0,2,2.14,0,0,13
Van de Ven,7,68,2,90,0,0,0,0.02,0,1,1.34,0,0,18
Alvarez,7,69,2,71,0,0,0.02,0.01,1,0,0.75,0,0,8
Aarons,7,62,0,90,0,0,0,0.13,0,4,3.47,0,0,5
Y. Chermiti,7,63,0,0,0,0,0,0,0,0,0,0,0,0
Onyango,7,63,0,0,0,0,0,0,0,0,0,0,0,0
