Name,Week,FixtureIds,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Fabio Vieira,24,239,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel,24,239,12,90,1,0,0.63,0.01,1,0,0.21,0,0,38
Havertz,24,239,3,90,0,0,0.08,0.19,1,0,0.21,0,0,13
G.Jesus,24,239,0,0,0,0,0,0,0,0,0,0,0,0
Jorginho,24,239,0,0,0,0,0,0,0,0,0,0,0,0
Kiwior,24,239,6,90,0,0,0,0.29,1,0,0.21,0,0,30
Martinelli,24,239,3,76,0,0,0.13,0.24,1,0,0.08,0,0,7
Nketiah,24,239,1,23,0,0,0.07,0.03,0,0,0.13,0,0,-1
Odegaard,24,239,10,90,0,2,0.05,0.52,1,0,0.21,0,1,45
Thomas,24,239,0,0,0,0,0,0,0,0,0,0,0,0
Ramsdale,24,239,0,0,0,0,0,0,0,0,0,0,0,0
Saka,24,239,15,66,2,0,1.72,0.47,1,0,0.08,0,2,50
Saliba,24,239,12,90,1,0,0.25,0.04,1,0,0.21,0,0,44
Smith Rowe,24,239,0,0,0,0,0,0,0,0,0,0,0,0
Tavares,24,237,1,90,0,0,0.08,0.08,0,3,0.48,0,0,13
Tomiyasu,24,239,0,0,0,0,0,0,0,0,0,0,0,0
Trossard,24,239,8,66,1,0,0.62,0.09,1,0,0.08,0,0,17
Turner,24,237,0,0,0,0,0,0,0,0,0,0,0,0
White,24,239,9,76,0,1,0,0.05,1,0,0.08,0,0,37
Zinchenko,24,239,0,0,0,0,0,0,0,0,0,0,0,0
Archer,24,235,7,80,1,0,0.77,0.02,0,1,1.58,0,1,25
Bailey,24,231,5,72,0,1,0.07,0.47,0,1,1.46,0,0,19
Cash,24,231,0,90,0,0,0.02,0.27,0,2,1.8,0,0,16
Coutinho,24,231,0,0,0,0,0,0,0,0,0,0,0,0
Diego Carlos,24,231,1,90,0,0,0,0.01,0,2,1.8,0,0,14
Digne,24,231,1,3,0,0,0,0,0,0,0.05,0,0,2
Douglas Luiz,24,231,10,90,1,0,0.73,0.07,0,2,1.8,0,3,33
Duran,24,231,0,0,0,0,0,0,0,0,0,0,0,0
Kamara,24,231,2,64,0,0,0,0.04,0,1,1.4,0,0,19
Konsa,24,231,0,0,0,0,0,0,0,0,0,0,0,0
Martinez,24,231,2,90,0,0,0,0,0,2,1.8,3,0,21
McGinn,24,231,2,86,0,0,0.24,0.23,0,2,1.75,0,0,11
Mings,24,231,0,0,0,0,0,0,0,0,0,0,0,0
Nakamba,24,235,0,0,0,0,0,0,0,0,0,0,0,0
Olsen,24,231,0,0,0,0,0,0,0,0,0,0,0,0
Tielemans,24,231,1,17,0,0,0,0.02,0,1,0.34,0,0,9
Bertrand Traore,24,231,0,0,0,0,0,0,0,0,0,0,0,0
Watkins,24,231,2,90,0,0,0.77,0.04,0,2,1.8,0,0,-6
Billing,24,233,0,0,0,0,0,0,0,0,0,0,0,0
Brooks,24,233,0,0,0,0,0,0,0,0,0,0,0,0
Christie,24,233,2,90,0,0,0.15,0.91,0,3,1.55,0,0,4
L.Cook,24,233,2,90,0,0,0,0.1,0,3,1.55,0,0,11
Kelly,24,233,0,45,0,0,0,0,0,2,0.91,0,0,5
Kluivert,24,233,0,0,0,0,0,0,0,0,0,0,0,0
Lowe,24,233,0,0,0,0,0,0,0,0,0,0,0,0
Mepham,24,233,0,0,0,0,0,0,0,0,0,0,0,0
Moore,24,233,0,0,0,0,0,0,0,0,0,0,0,0
N.Neto,24,233,2,90,0,0,0,0,0,3,1.55,4,0,17
Rothwell,24,233,0,0,0,0,0,0,0,0,0,0,0,0
Semenyo,24,233,1,27,0,0,0.08,0.02,0,0,0,0,0,2
Senesi,24,233,8,90,1,0,0.11,0.68,0,3,1.55,0,1,38
Solanke,24,233,4,90,0,1,0.72,0.25,0,3,1.55,0,0,11
Tavernier,24,233,2,68,0,0,0.11,0.49,0,3,1.55,0,0,9
Hamed Traorè,24,233,0,0,0,0,0,0,0,0,0,0,0,0
Zabarnyi,24,233,1,90,0,0,0.05,0.04,0,3,1.55,0,0,21
Ajer,24,240,1,5,0,0,0,0,0,0,0.05,0,0,4
Collins,24,240,8,90,0,0,0,0.06,1,0,1.13,0,2,31
Damsgaard,24,240,0,0,0,0,0,0,0,0,0,0,0,0
Dasilva,24,240,0,0,0,0,0,0,0,0,0,0,0,0
Flekken,24,240,7,90,0,0,0,0,1,0,1.13,5,1,29
Henry,24,240,0,0,0,0,0,0,0,0,0,0,0,0
Hickey,24,240,0,0,0,0,0,0,0,0,0,0,0,0
Janelt,24,240,5,84,0,1,0,0.13,1,0,1.09,0,0,17
Jensen,24,240,2,68,0,0,0.02,0.02,1,0,1.02,0,0,1
Lewis-Potter,24,240,1,14,0,0,0,0,0,0,0.07,0,0,-1
Mbeumo,24,240,0,0,0,0,0,0,0,0,0,0,0,0
Mee,24,240,6,90,0,0,0,0,1,0,1.13,0,0,23
Norgaard,24,240,9,84,1,0,0.87,0.01,1,0,1.09,0,1,29
Onyeka,24,240,0,0,0,0,0,0,0,0,0,0,0,0
Pinnock,24,240,6,90,0,0,0.04,0.01,1,0,1.13,0,0,24
Raya,24,239,6,90,0,0,0,0,1,0,0.21,1,0,23
Schade,24,240,0,0,0,0,0,0,0,0,0,0,0,0
Toney,24,240,6,90,1,0,0.3,0.02,1,0,1.13,0,0,28
Wissa,24,240,0,0,0,0,0,0,0,0,0,0,0,0
Adingra,24,238,0,0,0,0,0,0,0,0,0,0,0,0
Caicedo,24,232,2,90,0,0,0,0.06,0,1,0.55,0,0,19
Dahoud,24,238,0,0,0,0,0,0,0,0,0,0,0,0
Dunk,24,238,0,90,0,0,0,0,0,2,1.6,0,0,7
Enciso,24,238,0,0,0,0,0,0,0,0,0,0,0,0
Estupinan,24,238,0,90,0,0,0,0.01,0,2,1.6,0,0,7
Ferguson,24,238,1,7,0,0,0,0,0,1,0.35,0,0,3
Gilmour,24,238,2,90,0,0,0,0.02,0,1,1.25,0,0,12
Gross,24,238,10,90,1,0,0.79,0.06,0,2,1.6,0,3,36
Joao Pedro,24,238,0,0,0,0,0,0,0,0,0,0,0,0
Lallana,24,238,1,56,0,0,0,0.01,0,0,0.97,0,0,5
Lamptey,24,238,2,90,0,0,0,0.03,0,1,1.25,0,0,16
March,24,238,0,0,0,0,0,0,0,0,0,0,0,0
Milner,24,238,0,0,0,0,0,0,0,0,0,0,0,0
Mitoma,24,238,2,90,0,0,0.1,0.09,0,2,1.6,0,0,12
Sanchez,24,232,0,0,0,0,0,0,0,0,0,0,0,0
Steele,24,238,2,90,0,0,0,0,0,2,1.6,4,0,19
Van Hecke,24,238,1,90,0,0,0,0.01,0,2,1.6,0,0,20
Veltman,24,238,1,7,0,0,0,0,0,1,0.35,0,0,3
Verbruggen,24,238,0,0,0,0,0,0,0,0,0,0,0,0
Webster,24,238,0,0,0,0,0,0,0,0,0,0,0,0
Welbeck,24,238,5,82,0,1,0.06,0.03,0,1,1.25,0,0,15
Al-Dakhil,24,234,0,0,0,0,0,0,0,0,0,0,0,0
Benson,24,234,0,0,0,0,0,0,0,0,0,0,0,0
Beyer,24,234,0,0,0,0,0,0,0,0,0,0,0,0
Brownhill,24,234,4,90,0,1,0,0.03,0,3,2.86,0,0,12
Cork,24,234,0,0,0,0,0,0,0,0,0,0,0,0
Cullen,24,234,0,0,0,0,0,0,0,0,0,0,0,0
Foster,24,234,0,0,0,0,0,0,0,0,0,0,0,0
Gudmundsson,24,234,0,0,0,0,0,0,0,0,0,0,0,0
O'Shea,24,234,6,90,1,0,0.02,0.03,0,3,2.86,0,0,21
Roberts,24,234,0,0,0,0,0,0,0,0,0,0,0,0
Rodriguez,24,234,0,0,0,0,0,0,0,0,0,0,0,0
Taylor,24,234,0,0,0,0,0,0,0,0,0,0,0,0
Vitinho,24,234,1,10,0,0,0,0,0,0,0.72,0,0,2
Chalobah,24,232,0,0,0,0,0,0,0,0,0,0,0,0
Chilwell,24,232,2,90,0,0,0.04,0.02,0,1,0.55,0,0,8
Chukwuemeka,24,232,0,0,0,0,0,0,0,0,0,0,0,0
Colwill,24,232,1,29,0,0,0,0,0,0,0.19,0,0,3
Cucurella,24,232,0,0,0,0,0,0,0,0,0,0,0,0
Enzo,24,232,8,90,1,0,0.38,0.05,0,1,0.55,0,1,29
W.Fofana,24,232,0,0,0,0,0,0,0,0,0,0,0,0
Gallagher,24,232,15,90,2,0,0.33,0.13,0,1,0.55,0,3,49
Gusto,24,232,6,83,0,1,0,0.15,0,1,0.47,0,1,29
Hudson-Odoi,24,237,9,90,1,0,0.03,0.04,0,3,0.48,0,2,32
James,24,232,0,0,0,0,0,0,0,0,0,0,0,0
Madueke,24,232,1,45,0,0,0,0.07,0,1,0.17,0,0,4
Mount,24,231,0,0,0,0,0,0,0,0,0,0,0,0
Mudryk,24,232,0,0,0,0,0,0,0,0,0,0,0,0
N.Jackson,24,232,1,78,0,0,0.06,0.02,0,1,0.47,0,0,-4
Nkunku,24,232,1,45,0,0,0.06,0.01,0,0,0.37,0,0,2
