Name,Week,FixtureIds,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Fabio Vieira,10,91,6,17,1,0,0.79,0.02,0,0,0,0,0,22
Gabriel,10,91,0,0,0,0,0,0,0,0,0,0,0,0
Havertz,10,91,3,90,0,0,0.28,0.04,1,0,0.03,0,0,7
G.Jesus,10,91,0,0,0,0,0,0,0,0,0,0,0,0
Jorginho,10,91,0,0,0,0,0,0,0,0,0,0,0,0
Kiwior,10,91,6,90,0,0,0,0.02,1,0,0.03,0,0,25
Martinelli,10,91,3,65,0,0,0.09,0.38,1,0,0.03,0,0,17
Nketiah,10,91,17,90,3,0,0.96,0.02,1,0,0.03,0,3,77
Odegaard,10,91,0,0,0,0,0,0,0,0,0,0,0,0
Thomas,10,91,0,0,0,0,0,0,0,0,0,0,0,0
Ramsdale,10,91,0,0,0,0,0,0,0,0,0,0,0,0
Saka,10,91,6,72,0,1,0,0.06,1,0,0.03,0,0,16
Saliba,10,91,7,90,0,0,0,0.3,1,0,0.03,0,1,27
Smith Rowe,10,91,6,72,0,1,0.34,0.04,1,0,0.03,0,0,18
Tavares,10,97,0,0,0,0,0,0,0,0,0,0,0,0
Tomiyasu,10,91,7,24,1,0,0.21,0,0,0,0,0,0,15
Trossard,10,91,1,24,0,0,0,0.03,0,0,0,0,0,3
Turner,10,97,2,90,0,0,0,0,0,3,2.95,5,0,17
White,10,91,6,65,0,0,0.04,0.01,1,0,0.03,0,0,24
Zinchenko,10,91,8,90,0,0,0.02,0.37,1,0,0.03,0,2,29
Archer,10,91,1,31,0,0,0,0,0,2,1.37,0,0,2
Bailey,10,92,4,45,0,1,0.14,0.1,0,1,0.48,0,0,11
Cash,10,92,5,78,0,0,0,0.32,1,0,0.11,0,0,26
Coutinho,10,92,0,0,0,0,0,0,0,0,0,0,0,0
Diego Carlos,10,92,1,11,0,0,0,0,0,1,0.37,0,0,3
Digne,10,92,2,90,0,0,0,0.39,0,1,0.48,0,0,18
Douglas Luiz,10,92,7,89,0,1,0,0.13,0,1,0.17,0,2,28
Duran,10,92,0,0,0,0,0,0,0,0,0,0,0,0
Kamara,10,92,2,78,0,0,0,0.21,1,0,0.11,0,0,12
Konsa,10,92,2,90,0,0,0.12,0.18,0,1,0.48,0,0,13
Martinez,10,92,0,90,0,0,0,0,0,1,0.48,1,0,5
McGinn,10,92,8,90,1,0,0.37,0.01,0,1,0.48,0,1,27
Mings,10,92,0,0,0,0,0,0,0,0,0,0,0,0
Nakamba,10,92,2,75,0,0,0,0.01,0,3,1.97,0,0,6
Olsen,10,92,0,0,0,0,0,0,0,0,0,0,0,0
Tielemans,10,92,1,11,0,0,0,0.02,0,1,0.37,0,0,2
Bertrand Traore,10,92,1,1,0,0,0,0,0,0,0.32,0,0,3
Watkins,10,92,2,90,0,0,0.79,0.61,0,1,0.48,0,0,7
Billing,10,93,8,81,1,0,0.11,0.05,0,1,0.28,0,2,27
Brooks,10,93,0,0,0,0,0,0,0,0,0,0,0,0
Christie,10,93,2,90,0,0,0,0.09,0,1,0.88,0,0,6
L.Cook,10,93,0,0,0,0,0,0,0,0,0,0,0,0
Kelly,10,93,2,90,0,0,0.12,0.01,0,1,0.88,0,0,16
Kluivert,10,93,0,0,0,0,0,0,0,0,0,0,0,0
Lowe,10,93,0,0,0,0,0,0,0,0,0,0,0,0
Mepham,10,93,2,90,0,0,0.09,0.02,0,1,0.88,0,0,11
Moore,10,93,0,0,0,0,0,0,0,0,0,0,0,0
N.Neto,10,93,0,0,0,0,0,0,0,0,0,0,0,0
Rothwell,10,93,1,8,0,0,0,0,0,0,0.6,0,0,3
Semenyo,10,93,9,68,1,0,0.14,0.38,0,1,0.28,0,3,38
Senesi,10,93,0,0,0,0,0,0,0,0,0,0,0,0
Solanke,10,93,2,90,0,0,0.15,0.03,0,1,0.88,0,0,3
Tavernier,10,93,2,81,0,0,0.43,0.1,0,1,0.28,0,0,5
Hamed Traorè,10,93,0,0,0,0,0,0,0,0,0,0,0,0
Zabarnyi,10,93,2,90,0,0,0,0.01,0,1,0.88,0,0,18
Ajer,10,95,7,90,0,0,0,0.13,1,0,2.03,0,1,27
Collins,10,95,6,90,0,0,0,0,1,0,2.03,0,0,26
Damsgaard,10,95,0,0,0,0,0,0,0,0,0,0,0,0
Dasilva,10,95,0,0,0,0,0,0,0,0,0,0,0,0
Flekken,10,95,6,90,0,0,0,0.06,1,0,2.03,2,0,24
Henry,10,95,0,0,0,0,0,0,0,0,0,0,0,0
Hickey,10,95,6,83,0,0,0,0,1,0,1.11,0,0,21
Janelt,10,95,3,75,0,0,0.26,0.01,1,0,1.11,0,0,5
Jensen,10,95,3,63,0,0,0,0,1,0,1.11,0,0,5
Lewis-Potter,10,95,0,0,0,0,0,0,0,0,0,0,0,0
Mbeumo,10,95,13,90,1,1,1.22,0.29,1,0,2.03,0,2,34
