Id,Name,Team,Position,Price,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointRating,PointsInLastFive,MinutesInLastFive,GoalsInLastFive,xGoalsInLastFive,xAssistsInLastFive,CleanSheetsInLastFive,GoalsConcededInLastFive,xGoalsConcededInLastFive,SavesInLastFive,BonusPointsInLastFive,BonusPointsRatingInLastFive,Opponent,OpponentGoalsScored,OpponentGoalsConceded,OpponentGoalsScoredInLastFive,OpponentGoalsConcededInLastFive
525,Benrahma,WestHam,Midfielder,5.8,34,20,611,0,1,1.9100000000000001,0.7700000000000001,2,8,12.91,0,0,64,0,0,0,0,0,0,0,0,0,0,0,CrystalPalace,37,54,5,7
526,Bowen,WestHam,Midfielder,7.1,34,165,2750,15,5,9.900000000000002,4.56,5,55,56.08999999999998,0,11,481,18,323,2,0.44999999999999996,1.55,0,7,7.11,0,0,67,CrystalPalace,37,54,5,7
527,Cornet,WestHam,Midfielder,5.3,34,12,104,1,0,0.39999999999999997,0.02,0,3,2.82,0,0,38,1,1,0,0,0,0,0,0.05,0,0,2,CrystalPalace,37,54,5,7
528,Coufal,WestHam,Defender,4.5,34,81,2685,0,7,0.28,2.41,4,54,55.239999999999995,0,9,459,12,383,1,0.24000000000000002,0.28,0,8,9.040000000000001,0,2,43,CrystalPalace,37,54,5,7
530,Cresswell,WestHam,Defender,4.3,34,6,276,0,0,0,0.42000000000000004,0,6,2.65,0,0,47,2,42,0,0,0.01,0,0,0.07,0,0,9,CrystalPalace,37,54,5,7
532,Emerson,WestHam,Defender,4.5,34,82,2715,1,4,1.1400000000000001,1.9100000000000004,5,51,57.50999999999999,0,8,482,9,443,1,0,0.09,0,9,10.43,0,0,58,CrystalPalace,37,54,5,7
534,P.Fornals,WestHam,Midfielder,4.8,34,19,418,0,0,0.31000000000000005,0.3400000000000001,1,9,9.49,0,0,68,0,0,0,0,0,0,0,0,0,0,0,CrystalPalace,37,54,5,7
535,Ings,WestHam,Forward,5.7,34,32,344,1,2,1.18,0.24000000000000002,0,9,9.309999999999999,0,4,95,3,91,0,0.15,0.16,0,2,3.29,0,0,5,CrystalPalace,37,54,5,7
537,Kehrer,WestHam,Defender,4.4,34,2,19,0,0,0,0,0,1,0.47000000000000003,0,0,7,0,0,0,0,0,0,0,0,0,0,0,CrystalPalace,37,54,5,7
539,L.Paqueta,WestHam,Midfielder,6,34,91,2204,4,6,5.12,4.47,4,37,40.849999999999994,0,7,361,18,443,1,1.38,0.8200000000000001,0,9,10.43,0,2,67,CrystalPalace,37,54,5,7
542,Souček,WestHam,Midfielder,4.9,34,97,2479,6,1,6.370000000000001,0.8300000000000002,5,49,52.449999999999996,0,6,372,7,336,0,0.81,0.21,0,8,8.47,0,0,39,CrystalPalace,37,54,5,7
544,Zouma,WestHam,Defender,4.5,34,72,2388,3,0,1.87,0.02,3,47,49.019999999999996,0,6,384,15,390,0,0.27,0,0,8,8.65,0,2,69,CrystalPalace,37,54,5,7
577,Ogbonna,WestHam,Defender,4.4,34,18,319,0,0,0,0,2,2,7.73,0,0,73,0,0,0,0,0,0,0,0,0,0,0,CrystalPalace,37,54,5,7
