Name,Week,FixtureIds,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Fabio Vieira,9,84,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel,9,84,1,90,0,0,0.13,0.01,0,2,1.36,0,0,11
Havertz,9,84,1,12,0,0,0,0.01,0,0,0.02,0,0,2
G.Jesus,9,84,2,67,0,0,0.27,0,0,2,1.3,0,0,6
Jorginho,9,84,2,67,0,0,0.04,0.1,0,2,1.3,0,0,11
Kiwior,9,84,0,0,0,0,0,0,0,0,0,0,0,0
Martinelli,9,84,2,77,0,0,0.04,0.17,0,2,1.34,0,0,13
Nketiah,9,84,0,22,0,0,0.06,0,0,0,0.06,0,0,-3
Odegaard,9,84,2,77,0,0,0,0.11,0,2,1.34,0,0,8
Thomas,9,84,0,0,0,0,0,0,0,0,0,0,0,0
Ramsdale,9,84,0,0,0,0,0,0,0,0,0,0,0,0
Saka,9,84,5,90,0,1,0,0.16,0,2,1.36,0,0,20
Saliba,9,84,1,90,0,0,0,0.01,0,2,1.36,0,0,14
Smith Rowe,9,84,1,22,0,0,0,0,0,0,0.06,0,0,2
Tavares,9,88,0,0,0,0,0,0,0,0,0,0,0,0
Tomiyasu,9,84,1,45,0,0,0.11,0.01,0,1,0.18,0,0,3
Trossard,9,84,6,12,1,0,0.34,0,0,0,0.02,0,0,20
Turner,9,88,1,90,0,0,0,0,0,2,1.71,2,0,16
White,9,84,0,90,0,0,0,0.07,0,2,1.36,0,0,8
Zinchenko,9,84,0,45,0,0,0,0.01,0,1,1.18,0,0,0
Archer,9,89,2,90,0,0,0.21,0.01,0,2,1.05,0,0,6
Bailey,9,81,6,14,1,0,0.31,0.01,0,0,0.25,0,0,21
Cash,9,81,2,90,0,0,0,0.01,0,1,1.15,0,0,14
Coutinho,9,81,0,0,0,0,0,0,0,0,0,0,0,0
Diego Carlos,9,81,0,0,0,0,0,0,0,0,0,0,0,0
Digne,9,81,2,90,0,0,0,0.01,0,1,1.15,0,0,14
Douglas Luiz,9,81,15,90,2,0,0.9,0.07,0,1,1.15,0,3,54
Duran,9,81,0,0,0,0,0,0,0,0,0,0,0,0
Kamara,9,81,2,90,0,0,0,0.07,0,1,1.15,0,0,18
Konsa,9,81,6,90,0,1,0.14,0,0,1,1.15,0,1,25
Martinez,9,81,3,90,0,0,0,0,0,1,1.15,3,0,22
McGinn,9,81,5,90,0,1,0.02,0.2,0,1,1.15,0,0,18
Mings,9,81,0,0,0,0,0,0,0,0,0,0,0,0
Nakamba,9,88,2,90,0,0,0.02,0.02,0,2,2.97,0,0,12
