Id,Name,Team,Position,Price,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointRating,PointsInLastFive,MinutesInLastFive,GoalsInLastFive,xGoalsInLastFive,xAssistsInLastFive,CleanSheetsInLastFive,GoalsConcededInLastFive,xGoalsConcededInLastFive,SavesInLastFive,BonusPointsInLastFive,BonusPointsRatingInLastFive,Opponent,OpponentGoalsScored,OpponentGoalsConceded,OpponentGoalsScoredInLastFive,OpponentGoalsConcededInLastFive
313,Virgil,Liverpool,Defender,6,33,103,2457,2,2,2.1799999999999997,0.8900000000000002,8,27,35.47,0,8,539,11,360,0,0.05,0.06,1,3,3.69,0,0,64,CrystalPalace,6,6,0,0
628,Doak,Liverpool,Midfielder,4.4,33,1,13,0,0,0,0,0,0,0.14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,CrystalPalace,6,6,0,0
668,Endo,Liverpool,Midfielder,5.5,33,33,1177,1,0,0.32000000000000006,1.34,4,9,15.41,0,0,168,4,210,0,0,0.13,0,2,2.47,0,0,25,CrystalPalace,6,6,0,0
708,Gravenberch,Liverpool,Midfielder,5,33,30,897,0,0,1.6100000000000003,0.9400000000000001,3,11,12.86,0,0,115,2,60,0,0.08,0.03,0,1,0.59,0,0,8,CrystalPalace,6,6,0,0
52,Nakamba,Luton,Midfielder,4.4,33,21,1131,0,0,0.18,0.49,0,24,26.259999999999994,0,0,131,0,0,0,0,0,0,0,0,0,0,0,ManCity,9,3,0,0
314,Adebayo,Luton,Forward,4.8,33,80,1149,9,1,4.93,0.44000000000000006,2,28,23.989999999999995,0,6,264,0,0,0,0,0,0,0,0,0,0,0,ManCity,9,3,0,0
315,M.Andersen,Luton,Defender,4,33,15,397,1,0,0.26,0,0,6,7.640000000000001,0,1,75,0,0,0,0,0,0,0,0,0,0,0,ManCity,9,3,0,0
316,Bell,Luton,Defender,4,33,35,1720,0,0,0.38,0.43000000000000005,2,41,38.67999999999999,0,3,263,1,5,0,0,0,0,0,0.33,0,0,3,ManCity,9,3,0,0
318,Burke,Luton,Defender,4,33,32,1168,0,3,1.83,0.75,1,23,25.150000000000002,0,2,188,11,405,2,1.35,0.55,0,9,10.049999999999999,0,2,72,ManCity,9,3,0,0
321,Doughty,Luton,Defender,4.4,33,88,2300,1,9,1.08,4.819999999999999,2,53,53.529999999999994,0,11,471,14,487,2,0.15000000000000002,1.3,0,12,11.79,0,1,104,ManCity,9,3,0,0
324,McAtee,SheffieldUtd,Midfielder,4.5,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brentford,5,7,0,0
326,Morris,Luton,Forward,5.5,33,119,2229,8,6,8.83,1.3000000000000003,3,51,52.50999999999999,0,15,354,18,540,0,1.4500000000000002,0.44000000000000006,0,13,12.59,0,2,45,ManCity,9,3,0,0
328,Ogbene,Luton,Forward,4.9,33,75,1895,4,2,4.3500000000000005,3.4899999999999998,2,42,44.559999999999995,0,7,359,11,347,0,0.9,0.30000000000000004,0,9,7.96,0,0,49,ManCity,9,3,0,0
340,Woodrow,Luton,Forward,4.4,33,24,304,1,0,0.99,0.52,0,7,7.220000000000001,0,3,83,12,93,0,0.06,0.01,0,2,1.72,0,3,39,ManCity,9,3,0,0
553,Giles,Luton,Defender,4.5,33,11,498,0,0,0.12,0.56,0,14,14.04,0,0,81,0,0,0,0,0,0,0,0,0,0,0,ManCity,9,3,0,0
575,Lockyer,Luton,Defender,4.3,33,23,1169,1,1,0.9900000000000001,0.29,0,23,27.64,0,1,162,0,0,0,0,0,0,0,0,0,0,0,ManCity,9,3,0,0
582,Mpanzu,Luton,Midfielder,4.9,33,32,1043,0,0,0.53,1.4100000000000001,1,26,27.38,0,0,98,5,230,0,0,0.04,0,7,6.18,0,0,21,ManCity,9,3,0,0
586,Chong,Luton,Midfielder,4.9,33,65,1377,4,2,2.2800000000000002,1.21,0,31,33.91,0,3,181,29,442,0,1.06,0.23,0,8,9.67,0,3,83,ManCity,9,3,0,0
602,Kabore,Luton,Defender,4,33,31,1603,0,3,0.22,1.84,0,37,37.01,0,3,219,6,540,1,0,0.41,0,13,12.59,0,0,82,ManCity,9,3,0,0
614,Kaminski,Luton,Goalkeeper,4.5,33,73,2790,0,0,0,0.02,2,64,64.9,118,3,529,11,540,0,0,0,0,13,12.59,21,0,94,ManCity,9,3,0,0
630,Barkley,Luton,Midfielder,4.9,33,86,2141,4,5,3.46,2.4899999999999998,2,52,49.86,0,4,435,19,537,1,0.7400000000000001,0.36,0,13,12.290000000000001,0,0,91,ManCity,9,3,0,0
631,Brown,Luton,Forward,4.9,33,39,1013,2,1,2.8099999999999996,0.44000000000000006,1,26,27.75,0,3,115,0,0,0,0,0,0,0,0,0,0,0,ManCity,9,3,0,0
682,Johnson,Spurs,Midfielder,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Newcastle,11,11,0,0
341,Akanji,ManCity,Defender,5,33,79,1857,2,0,0.88,1.2500000000000004,7,19,20.450000000000003,0,6,412,10,270,0,0,0.16,1,2,3.87,0,0,64,Luton,6,10,0,0
342,Ake,ManCity,Defender,5.1,33,83,1751,2,3,2.0500000000000003,1.1100000000000003,4,19,18.610000000000003,0,6,408,5,206,0,0.35,0.15000000000000002,0,2,3.13,0,0,37,Luton,6,10,0,0
343,J.Alvarez,ManCity,Forward,7,33,132,2286,8,10,10.480000000000002,5.659999999999998,10,22,22.36,0,17,543,8,189,1,1.4100000000000001,0.24,0,2,2.63,0,0,12,Luton,6,10,0,0
344,Bernardo,ManCity,Midfielder,6.3,33,106,2059,6,4,3.27,6.479999999999999,6,24,22.340000000000003,0,16,469,9,344,0,0.52,1,1,3,4.09,0,1,50,Luton,6,10,0,0
349,De Bruyne,ManCity,Midfielder,10.2,33,42,580,1,5,1.02,2.57,2,4,6.34,0,5,177,11,248,1,0.41,0.83,1,2,2.8000000000000003,0,1,53,Luton,6,10,0,0
350,Ruben,ManCity,Defender,5.5,33,69,2107,0,0,1.04,1.1900000000000004,7,24,21.740000000000002,0,1,418,10,270,0,0,0.1,1,2,1.67,0,0,63,Luton,6,10,0,0
352,Ederson M.,ManCity,Goalkeeper,5.6,33,87,2312,0,0,0,0.03,8,25,24.19,48,5,449,2,145,0,0,0,0,2,1.55,1,0,10,Luton,6,10,0,0
353,Foden,ManCity,Midfielder,7.6,33,183,2449,14,7,8.92,6.2,11,25,26.17,0,24,707,40,319,0,1.89,1.33,1,3,3.89,0,6,146,Luton,6,10,0,0
354,Grealish,ManCity,Midfielder,7.3,33,43,819,3,1,2.06,2.4499999999999997,2,11,9.660000000000002,0,6,182,2,119,0,0.13,0.39,0,1,0.89,0,0,16,Luton,6,10,0,0
355,Haaland,ManCity,Forward,14.1,33,156,2012,18,7,21.53,1.6900000000000004,8,21,21.970000000000002,0,20,550,10,270,0,1.9600000000000002,0.09,1,2,3.4,0,0,30,Luton,6,10,0,0
356,Kovačic,ManCity,Midfielder,4.9,33,37,1036,0,0,0.7800000000000002,1.21,6,11,9.87,0,0,206,5,96,0,0.06,0.04,1,0,1.1600000000000001,0,0,23,Luton,6,10,0,0
358,R.Lewis,ManCity,Defender,4.4,33,40,605,1,0,0.45,1.02,4,6,6.93,0,1,162,8,153,0,0.14,0.5900000000000001,1,1,1,0,0,41,Luton,6,10,0,0
365,Rodrigo,ManCity,Midfielder,5.7,33,124,2330,7,7,3.66,5.080000000000001,10,23,25.29,0,16,578,26,344,3,0.48,0.7999999999999999,1,3,4.09,0,4,114,Luton,6,10,0,0
366,Sergio Gomez,ManCity,Defender,3.9,33,7,28,0,1,0.24,0.09,0,1,1.02,0,0,18,1,10,0,0.24,0.01,0,0,0.04,0,0,-1,Luton,6,10,0,0
