Name,Week,FixtureIds,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Fabio Vieira,13,121,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel,13,121,6,90,0,0,0.06,0.02,1,0,1.11,0,0,23
Havertz,13,121,6,11,1,0,0.32,0,0,0,0,0,0,22
G.Jesus,13,121,2,65,0,0,0.51,0.01,1,0,0.61,0,0,0
Jorginho,13,121,1,1,0,0,0,0,0,0,0,0,0,3
Kiwior,13,121,0,0,0,0,0,0,0,0,0,0,0,0
Martinelli,13,121,2,78,0,0,0.07,0.06,1,0,1.11,0,0,2
Nketiah,13,121,1,24,0,0,0.04,0,0,0,0.51,0,0,3
Odegaard,13,121,3,90,0,0,0.09,0.14,1,0,1.11,0,0,10
Thomas,13,121,0,0,0,0,0,0,0,0,0,0,0,0
Ramsdale,13,121,6,90,0,0,0,0,1,0,1.11,1,0,22
Saka,13,121,8,90,0,1,0,0.46,1,0,1.11,0,2,29
Saliba,13,121,6,90,0,0,0.01,0.03,1,0,1.11,0,0,22
Smith Rowe,13,121,0,0,0,0,0,0,0,0,0,0,0,0
Tavares,13,128,0,0,0,0,0,0,0,0,0,0,0,0
Tomiyasu,13,121,7,90,0,0,0.1,0.03,1,0,1.11,0,1,25
Trossard,13,121,3,90,0,0,0.27,0.24,1,0,1.11,0,0,0
Turner,13,128,0,0,0,0,0,0,0,0,0,0,0,0
White,13,121,1,1,0,0,0,0,0,0,0,0,0,3
Zinchenko,13,121,9,90,0,0,0.02,0.27,1,0,1.11,0,3,32
Archer,13,129,2,90,0,0,0,0.03,0,3,2.71,0,0,6
Bailey,13,130,1,45,0,0,0.24,0.02,0,0,1.14,0,0,3
Cash,13,130,0,45,0,0,0.09,0,0,1,1.18,0,0,-1
Coutinho,13,130,0,0,0,0,0,0,0,0,0,0,0,0
Diego Carlos,13,130,2,90,0,0,0.11,0,0,1,2.32,0,0,14
Digne,13,130,2,90,0,0,0.06,0.23,0,1,2.32,0,0,21
Douglas Luiz,13,130,7,90,0,1,0,0.12,0,1,2.32,0,2,29
Duran,13,130,1,1,0,0,0.01,0,0,0,0.04,0,0,2
Kamara,13,130,1,90,0,0,0.03,0.03,0,1,2.32,0,0,12
Konsa,13,130,2,90,0,0,0,0.01,0,1,2.32,0,0,11
Martinez,13,130,4,90,0,0,0,0,0,1,2.32,6,0,21
McGinn,13,130,1,90,0,0,0.08,0.63,0,1,2.29,0,0,12
Mings,13,130,0,0,0,0,0,0,0,0,0,0,0,0
Nakamba,13,125,0,0,0,0,0,0,0,0,0,0,0,0
Olsen,13,130,0,0,0,0,0,0,0,0,0,0,0,0
Tielemans,13,130,4,45,0,1,0,0.07,0,0,1.14,0,0,14
Bertrand Traore,13,130,0,0,0,0,0,0,0,0,0,0,0,0
Watkins,13,130,5,90,1,0,0.67,0.08,0,1,2.29,0,0,21
Billing,13,129,0,24,0,0,0.14,0,0,1,0.41,0,0,0
Brooks,13,129,1,8,0,0,0,0.01,0,1,0.41,0,0,2
Christie,13,129,2,90,0,0,0.1,0.02,0,1,0.81,0,0,10
L.Cook,13,129,2,90,0,0,0,0.11,0,1,0.81,0,0,12
Kelly,13,129,1,45,0,0,0,0.05,0,0,0.05,0,0,9
Kluivert,13,129,10,65,1,0,0.26,0.01,1,0,0.4,0,2,31
Lowe,13,129,0,0,0,0,0,0,0,0,0,0,0,0
Mepham,13,129,0,0,0,0,0,0,0,0,0,0,0,0
Moore,13,129,0,0,0,0,0,0,0,0,0,0,0,0
N.Neto,13,129,2,90,0,0,0,0,0,1,0.81,1,0,10
Rothwell,13,129,0,0,0,0,0,0,0,0,0,0,0,0
Semenyo,13,129,5,65,0,1,0.07,0.02,1,0,0.4,0,0,20
Senesi,13,129,2,90,0,0,0,0.02,0,1,0.81,0,0,13
Solanke,13,129,2,90,0,0,0.62,0.03,0,1,0.81,0,0,-6
Tavernier,13,129,16,81,2,0,1.22,0.19,1,0,0.4,0,3,48
Hamed Traorè,13,129,0,0,0,0,0,0,0,0,0,0,0,0
Zabarnyi,13,129,2,90,0,0,0,0,0,1,0.81,0,0,17
Ajer,13,121,1,90,0,0,0.08,0,0,1,1.52,0,0,3
Collins,13,121,0,0,0,0,0,0,0,0,0,0,0,0
Damsgaard,13,121,0,0,0,0,0,0,0,0,0,0,0,0
Dasilva,13,121,0,0,0,0,0,0,0,0,0,0,0,0
Flekken,13,121,3,90,0,0,0,0,0,1,1.52,3,0,13
Henry,13,121,0,0,0,0,0,0,0,0,0,0,0,0
Hickey,13,121,0,0,0,0,0,0,0,0,0,0,0,0
Janelt,13,121,2,90,0,0,0,0.17,0,1,1.52,0,0,15
Jensen,13,121,0,0,0,0,0,0,0,0,0,0,0,0
Lewis-Potter,13,121,1,1,0,0,0,0,0,0,0,0,0,3
Mbeumo,13,121,2,90,0,0,0.22,0.16,0,1,1.52,0,0,4
Mee,13,121,2,90,0,0,0,0.04,0,1,1.52,0,0,16
Norgaard,13,121,2,90,0,0,0.04,0.02,0,1,1.52,0,0,19
Onyeka,13,121,2,90,0,0,0,0,0,1,1.52,0,0,10
Pinnock,13,121,2,90,0,0,0,0.01,0,1,1.52,0,0,15
Raya,13,121,0,0,0,0,0,0,0,0,0,0,0,0
Schade,13,121,0,0,0,0,0,0,0,0,0,0,0,0
Toney,13,121,0,0,0,0,0,0,0,0,0,0,0,0
Wissa,13,121,2,71,0,0,0.35,0.12,1,0,0.99,0,0,6
Adingra,13,128,1,90,0,0,0,0.07,0,2,1.69,0,0,12
