Name,Week,FixtureIds,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Fabio Vieira,25,242,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel,25,242,6,90,0,0,0.02,0.01,1,0,0.26,0,0,31
Havertz,25,242,12,83,1,1,0.78,0.05,1,0,0.18,0,1,38
G.Jesus,25,242,0,0,0,0,0,0,0,0,0,0,0,0
Jorginho,25,242,1,11,0,0,0,0.02,0,0,0.15,0,0,3
Kiwior,25,242,9,90,0,1,0,0.01,1,0,0.26,0,0,34
Martinelli,25,242,3,90,0,0,0.02,0.17,1,0,0.26,0,0,3
Nketiah,25,242,1,21,0,0,0.26,0.02,0,0,0.15,0,0,0
Odegaard,25,242,14,90,1,1,0.13,0.41,1,0,0.26,0,3,45
Thomas,25,242,0,0,0,0,0,0,0,0,0,0,0,0
Ramsdale,25,242,0,0,0,0,0,0,0,0,0,0,0,0
Saka,25,242,15,68,2,0,0.86,0.24,1,0,0.11,0,3,45
Saliba,25,242,6,90,0,0,0,0.01,1,0,0.26,0,0,25
Smith Rowe,25,242,1,6,0,0,0.04,0.03,0,0,0.09,0,0,3
Tavares,25,248,6,90,0,0,0.04,0.19,1,0,0.56,0,0,22
Tomiyasu,25,242,0,0,0,0,0,0,0,0,0,0,0,0
Trossard,25,242,11,68,1,1,0.29,0,1,0,0.11,0,0,30
Turner,25,248,0,0,0,0,0,0,0,0,0,0,0,0
White,25,242,6,68,0,0,0,0.02,1,0,0.11,0,0,29
Zinchenko,25,242,0,0,0,0,0,0,0,0,0,0,0,0
Archer,25,249,0,0,0,0,0,0,0,0,0,0,0,0
Bailey,25,244,2,80,0,0,0.12,0.05,0,1,0.82,0,0,4
Cash,25,244,2,90,0,0,0,0.01,0,1,1.4,0,0,11
Coutinho,25,244,0,0,0,0,0,0,0,0,0,0,0,0
Diego Carlos,25,244,0,0,0,0,0,0,0,0,0,0,0,0
Digne,25,244,1,9,0,0,0,0,0,0,0.57,0,0,2
Douglas Luiz,25,244,2,90,0,0,0,0.15,0,1,1.4,0,0,18
Duran,25,244,0,0,0,0,0,0,0,0,0,0,0,0
Kamara,25,244,0,0,0,0,0,0,0,0,0,0,0,0
Konsa,25,244,0,0,0,0,0,0,0,0,0,0,0,0
Martinez,25,244,3,90,0,0,0,0,0,1,1.4,3,0,20
McGinn,25,244,1,90,0,0,0,0,0,1,1.4,0,0,8
Mings,25,244,0,0,0,0,0,0,0,0,0,0,0,0
Nakamba,25,245;257,0,0,0,0,0,0,0,0,0,0,0,0
Olsen,25,244,0,0,0,0,0,0,0,0,0,0,0,0
Tielemans,25,244,5,90,0,1,0.38,0.2,0,1,1.4,0,0,17
Bertrand Traore,25,244,0,0,0,0,0,0,0,0,0,0,0,0
Watkins,25,244,13,90,2,0,0.93,0.25,0,1,1.4,0,3,59
Billing,25,247,0,0,0,0,0,0,0,0,0,0,0,0
Brooks,25,247,0,0,0,0,0,0,0,0,0,0,0,0
Christie,25,247,1,90,0,0,0,0.02,0,2,2.23,0,0,12
L.Cook,25,247,2,90,0,0,0.02,0.01,0,2,2.26,0,0,16
Kelly,25,247,1,90,0,0,0,0.01,0,2,2.26,0,0,7
Kluivert,25,247,2,70,0,0,0.06,0.08,0,1,1.5,0,0,5
Lowe,25,247,0,0,0,0,0,0,0,0,0,0,0,0
Mepham,25,247,0,0,0,0,0,0,0,0,0,0,0,0
Moore,25,247,0,0,0,0,0,0,0,0,0,0,0,0
N.Neto,25,247,2,90,0,0,0,0,0,2,2.26,4,0,17
Rothwell,25,247,0,0,0,0,0,0,0,0,0,0,0,0
Semenyo,25,247,8,77,1,0,0.07,0.01,0,1,1.52,0,2,26
Senesi,25,247,0,90,0,0,0.01,0,0,2,2.26,0,0,0
Solanke,25,247,12,90,1,1,2.23,0.01,0,2,2.26,0,3,34
Tavernier,25,247,2,90,0,0,0.09,0.13,0,2,2.26,0,0,10
