Name,Week,FixtureIds,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Fabio Vieira,19,181,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel,19,181,1,90,0,0,0.19,0.1,0,2,1.48,0,0,18
Havertz,19,181,0,0,0,0,0,0,0,0,0,0,0,0
G.Jesus,19,181,1,90,0,0,0.46,0.27,0,2,1.48,0,0,8
Jorginho,19,181,0,0,0,0,0,0,0,0,0,0,0,0
Kiwior,19,181,0,0,0,0,0,0,0,0,0,0,0,0
Martinelli,19,181,2,63,0,0,0.08,0.29,0,2,0.6,0,0,7
Nketiah,19,181,1,26,0,0,0.2,0,0,0,0.87,0,0,1
Odegaard,19,181,2,90,0,0,0.09,1.02,0,2,1.48,0,0,12
Thomas,19,181,0,0,0,0,0,0,0,0,0,0,0,0
Ramsdale,19,181,0,0,0,0,0,0,0,0,0,0,0,0
Saka,19,181,2,90,0,0,0.58,0.57,0,2,1.48,0,0,6
Saliba,19,181,1,90,0,0,0.1,0.04,0,2,1.48,0,0,16
Smith Rowe,19,181,1,11,0,0,0.08,0.01,0,0,0.79,0,0,3
Tavares,19,189,0,0,0,0,0,0,0,0,0,0,0,0
Tomiyasu,19,181,0,0,0,0,0,0,0,0,0,0,0,0
Trossard,19,181,2,78,0,0,0.83,0.12,0,2,0.69,0,0,2
Turner,19,189,3,90,0,0,0,0,0,1,2.43,5,0,23
White,19,181,1,90,0,0,0.1,0.51,0,2,1.48,0,0,16
Zinchenko,19,181,1,63,0,0,0,0.3,0,2,0.6,0,0,13
Archer,19,190,5,85,0,1,0.76,0.19,0,3,0.63,0,0,18
Bailey,19,188,2,76,0,0,0.1,0.24,0,2,0.85,0,0,5
Cash,19,188,0,0,0,0,0,0,0,0,0,0,0,0
Coutinho,19,188,0,0,0,0,0,0,0,0,0,0,0,0
Diego Carlos,19,188,0,90,0,0,0.1,0.01,0,3,1.04,0,0,11
Digne,19,188,1,49,0,0,0,0.1,0,0,0.32,0,0,5
Douglas Luiz,19,188,2,90,0,0,0.04,0.09,0,3,1.04,0,0,7
Duran,19,188,1,4,0,0,0,0,0,0,0.09,0,0,2
Kamara,19,188,0,0,0,0,0,0,0,0,0,0,0,0
Konsa,19,188,0,90,0,0,0.08,0.02,0,3,1.04,0,0,10
Martinez,19,188,2,90,0,0,0,0,0,3,1.04,4,0,23
McGinn,19,188,7,85,1,0,0.55,0.08,0,3,0.95,0,0,20
Mings,19,188,0,0,0,0,0,0,0,0,0,0,0,0
Nakamba,19,190,0,0,0,0,0,0,0,0,0,0,0,0
Olsen,19,188,0,0,0,0,0,0,0,0,0,0,0,0
Tielemans,19,188,0,0,0,0,0,0,0,0,0,0,0,0
Bertrand Traore,19,188,0,0,0,0,0,0,0,0,0,0,0,0
Watkins,19,188,2,90,0,0,0,0.04,0,3,1.04,0,0,6
Billing,19,182,1,17,0,0,0,0.08,0,0,0,0,0,5
Brooks,19,182,4,2,0,1,0.01,0,0,0,0,0,0,12
Christie,19,182,3,90,0,0,0.04,0.01,1,0,0.28,0,0,12
L.Cook,19,182,0,0,0,0,0,0,0,0,0,0,0,0
Kelly,19,182,0,0,0,0,0,0,0,0,0,0,0,0
Kluivert,19,182,8,72,1,0,0.29,0.05,1,0,0.28,0,0,25
Lowe,19,182,0,0,0,0,0,0,0,0,0,0,0,0
Mepham,19,182,0,0,0,0,0,0,0,0,0,0,0,0
Moore,19,182,0,0,0,0,0,0,0,0,0,0,0,0
