Name,Week,FixtureIds,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Fabio Vieira,29,,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel,29,,0,0,0,0,0,0,0,0,0,0,0,0
Havertz,29,,0,0,0,0,0,0,0,0,0,0,0,0
G.Jesus,29,,0,0,0,0,0,0,0,0,0,0,0,0
Jorginho,29,,0,0,0,0,0,0,0,0,0,0,0,0
Kiwior,29,,0,0,0,0,0,0,0,0,0,0,0,0
Martinelli,29,,0,0,0,0,0,0,0,0,0,0,0,0
Nketiah,29,,0,0,0,0,0,0,0,0,0,0,0,0
Odegaard,29,,0,0,0,0,0,0,0,0,0,0,0,0
Thomas,29,,0,0,0,0,0,0,0,0,0,0,0,0
Ramsdale,29,,0,0,0,0,0,0,0,0,0,0,0,0
Saka,29,,0,0,0,0,0,0,0,0,0,0,0,0
Saliba,29,,0,0,0,0,0,0,0,0,0,0,0,0
Smith Rowe,29,,0,0,0,0,0,0,0,0,0,0,0,0
Tavares,29,287,0,0,0,0,0,0,0,0,0,0,0,0
Tomiyasu,29,,0,0,0,0,0,0,0,0,0,0,0,0
Trossard,29,,0,0,0,0,0,0,0,0,0,0,0,0
Turner,29,287,0,0,0,0,0,0,0,0,0,0,0,0
White,29,,0,0,0,0,0,0,0,0,0,0,0,0
Zinchenko,29,,0,0,0,0,0,0,0,0,0,0,0,0
Archer,29,,0,0,0,0,0,0,0,0,0,0,0,0
Bailey,29,289,2,90,0,0,0.14,0.07,0,1,2.04,0,0,17
Cash,29,289,1,45,0,0,0,0.02,0,0,0.79,0,0,4
Coutinho,29,289,0,0,0,0,0,0,0,0,0,0,0,0
Diego Carlos,29,289,0,0,0,0,0,0,0,0,0,0,0,0
Digne,29,289,1,27,0,0,0,0.01,0,0,0.79,0,0,3
Douglas Luiz,29,289,1,90,0,0,0.03,0.19,0,1,2.04,0,0,16
Duran,29,289,1,45,0,0,0,0,0,1,1.25,0,0,-1
Kamara,29,289,0,0,0,0,0,0,0,0,0,0,0,0
Konsa,29,289,2,90,0,0,0.07,0.01,0,1,2.04,0,0,18
Martinez,29,289,5,90,0,0,0,0,0,1,2.04,3,2,21
McGinn,29,289,0,0,0,0,0,0,0,0,0,0,0,0
Mings,29,289,0,0,0,0,0,0,0,0,0,0,0,0
Nakamba,29,287,0,0,0,0,0,0,0,0,0,0,0,0
Olsen,29,289,0,0,0,0,0,0,0,0,0,0,0,0
Tielemans,29,289,1,90,0,0,0.03,0.07,0,1,2.04,0,0,9
Bertrand Traore,29,289,0,0,0,0,0,0,0,0,0,0,0,0
Watkins,29,289,2,90,0,0,0.05,0.03,0,1,2.04,0,0,6
Billing,29,,0,0,0,0,0,0,0,0,0,0,0,0
Brooks,29,,0,0,0,0,0,0,0,0,0,0,0,0
Christie,29,,0,0,0,0,0,0,0,0,0,0,0,0
L.Cook,29,,0,0,0,0,0,0,0,0,0,0,0,0
Kelly,29,,0,0,0,0,0,0,0,0,0,0,0,0
Kluivert,29,,0,0,0,0,0,0,0,0,0,0,0,0
Lowe,29,,0,0,0,0,0,0,0,0,0,0,0,0
Mepham,29,,0,0,0,0,0,0,0,0,0,0,0,0
Moore,29,,0,0,0,0,0,0,0,0,0,0,0,0
N.Neto,29,,0,0,0,0,0,0,0,0,0,0,0,0
Rothwell,29,,0,0,0,0,0,0,0,0,0,0,0,0
Semenyo,29,,0,0,0,0,0,0,0,0,0,0,0,0
Senesi,29,,0,0,0,0,0,0,0,0,0,0,0,0
Solanke,29,,0,0,0,0,0,0,0,0,0,0,0,0
Tavernier,29,,0,0,0,0,0,0,0,0,0,0,0,0
Hamed Traorè,29,,0,0,0,0,0,0,0,0,0,0,0,0
Zabarnyi,29,,0,0,0,0,0,0,0,0,0,0,0,0
Ajer,29,283,7,90,1,0,0.04,0.03,0,2,2.66,0,1,22
Collins,29,283,1,90,0,0,0.02,0.04,0,2,2.66,0,0,13
Damsgaard,29,283,0,0,0,0,0,0,0,0,0,0,0,0
