Name,Week,FixtureIds,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
G.Jesus,5,47,0,3,0,0,0,0,0,1,0.69,0,0,3
Gabriel,5,47,7,90,1,0,0.49,0.01,0,2,2.16,0,0,15
Havertz,5,47,2,90,0,0,0.06,0,0,2,2.16,0,0,8
J.Timber,5,47,2,90,0,0,0,0,0,1,1.68,0,0,3
Jorginho,5,47,0,0,0,0,0,0,0,0,0,0,0,0
Kiwior,5,47,1,16,0,0,0,0,0,1,0.99,0,0,-1
Martinelli,5,47,5,86,0,1,0,0.06,0,1,1.48,0,0,18
Nelson,5,44,7,16,1,0,0.31,0.05,0,0,0.3,0,1,27
Nketiah,5,43,2,65,0,0,0.15,0.01,1,0,1.63,0,0,9
Nwaneri,5,47,0,0,0,0,0,0,0,0,0,0,0,0
Odegaard,5,47,0,0,0,0,0,0,0,0,0,0,0,0
Ramsdale,5,48,3,90,0,0,0,0,0,1,1.69,5,0,15
Raya,5,47,4,90,0,0,0,0,0,2,2.16,9,0,21
Rice,5,47,1,90,0,0,0,0.01,0,2,2.16,0,0,2
Saka,5,47,4,45,0,1,0,0.41,0,1,0.6,0,0,19
Saliba,5,47,1,90,0,0,0,0,0,2,2.16,0,0,7
Smith Rowe,5,44,8,83,1,0,0.41,0.02,0,1,1.24,0,1,27
Thomas,5,47,1,90,0,0,0,0.02,0,2,2.16,0,0,11
Tomiyasu,5,47,0,0,0,0,0,0,0,0,0,0,0,0
Trossard,5,47,-2,52,0,0,0.08,0,0,2,0.6,0,0,-10
White,5,47,1,45,0,0,0,0,0,1,1.56,0,0,3
Zinchenko,5,47,0,0,0,0,0,0,0,0,0,0,0,0
Alex Moreno,5,42,0,45,0,0,0,0,0,2,0.39,0,0,-1
Archer,5,48,1,58,0,0,1.26,0.01,0,0,1.08,0,0,-7
Bailey,5,41,1,45,0,0,0.07,0.33,0,0,0,0,0,7
Barkley,5,41,0,28,0,0,0.05,0.01,0,0,0,0,0,-3
Buendia,5,41,1,1,0,0,0,0,0,0,0,0,0,1
Cash,5,41,0,0,0,0,0,0,0,0,0,0,0,0
Diego Carlos,5,41,2,90,0,0,0,0.01,0,1,0.51,0,0,7
Digne,5,41,1,45,0,0,0,0.01,0,1,0.51,0,0,0
Duran,5,41,5,28,1,0,1.03,0,0,0,0,0,0,26
Konsa,5,41,9,90,1,0,0.21,0.02,0,1,0.51,0,1,33
Maatsen,5,41,1,45,0,0,0,0.02,0,0,0,0,0,1
Martinez,5,41,3,90,0,0,0,0,0,1,0.51,3,0,11
McGinn,5,41,1,45,0,0,0.03,0.19,0,1,0.51,0,0,4
Nedeljkovic,5,41,0,0,0,0,0,0,0,0,0,0,0,0
Pau,5,41,1,90,0,0,0,0.02,0,1,0.51,0,0,6
Ramsey,5,41,2,61,0,0,0,0.03,0,1,0.51,0,0,10
Rogers,5,41,10,90,0,2,0,0.6,0,1,0.51,0,3,34
Tielemans,5,41,5,90,0,1,0,0.38,0,1,0.51,0,0,31
Watkins,5,41,6,90,1,0,0.34,0.06,0,1,0.51,0,0,30
Brooks,5,46,0,0,0,0,0,0,0,0,0,0,0,0
Christie,5,46,1,68,0,0,0,0.03,0,3,1.65,0,0,7
Cook,5,46,1,90,0,0,0,0.19,0,3,2.06,0,0,11
Enes Ünal,5,46,1,14,0,0,0.04,0,0,0,0.39,0,0,3
Jebbison,5,46,0,0,0,0,0,0,0,0,0,0,0,0
Kerkez,5,46,1,90,0,0,0.01,0.09,0,3,2.06,0,0,7
Kluivert,5,46,0,45,0,0,0.14,0,0,3,1.1,0,0,0
N.Neto,5,47,0,0,0,0,0,0,0,0,0,0,0,0
O.Dango,5,46,1,45,0,0,0,0.01,0,0,0.96,0,0,6
Philip,5,46,0,0,0,0,0,0,0,0,0,0,0,0
Scott,5,46,1,21,0,0,0.1,0.02,0,0,0.4,0,0,4
Semenyo,5,46,2,69,0,0,0.35,0.01,0,3,1.65,0,0,9
Senesi,5,46,0,0,0,0,0,0,0,0,0,0,0,0
Sinisterra,5,46,1,20,0,0,0.35,0.01,0,0,0.4,0,0,3
Smith,5,46,1,21,0,0,0,0,0,0,0.4,0,0,4
Solanke,5,49,6,87,1,0,1.61,0.07,0,1,0.8,0,0,26
Tavernier,5,46,2,90,0,0,0.02,0.07,0,3,2.06,0,0,17
