Id,Name,Team,Position,Price,Goals,Assists,Clean Sheets,Goals Conceded,Minutes
0,White,Defender,Arsenal,6.3,0,0,3,2,405
0,Amad,Midfielder,Man Utd,5,1,1,3,1,340
0,Bellegarde,Midfielder,Wolves,5,1,1,2,9,402
0,Garnacho,Midfielder,Man Utd,6.3,1,1,2,7,409
0,Leno,Goalkeeper,Fulham,5,0,0,1,8,630
0,Martinez,Goalkeeper,Aston Villa,5,0,0,1,9,630
0,Rashford,Midfielder,Man Utd,6.9,1,0,3,6,480
0,Bruno G.,Midfielder,Newcastle,6.3,0,1,2,7,626
0,Flekken,Goalkeeper,Brentford,4.5,0,0,0,13,630
0,Isak,Forward,Newcastle,8.3,1,1,1,6,405
0,J.Timber,Defender,Arsenal,5.5,0,1,2,4,448
0,Joelinton,Midfielder,Newcastle,6,1,0,2,6,568
0,Joao Pedro,Forward,Brighton,5.5,2,0,1,2,280
0,Kudus,Midfielder,West Ham,6.3,1,0,1,11,577
0,Martinez,Defender,Man Utd,4.5,0,0,3,8,526
0,Muric,Goalkeeper,Ipswich,4.4,0,0,1,12,540
0,Savio,Midfielder,Man City,6.5,0,3,0,4,291
0,Van Hecke,Defender,Brighton,4.5,0,1,2,4,450
0,Burn,Defender,Newcastle,4.4,0,0,2,7,630
0,Carvalho,Midfielder,Brentford,4.8,1,1,0,7,239
0,Colwill,Defender,Chelsea,4.6,0,0,2,8,630
0,Davis,Defender,Ipswich,4.5,0,1,1,14,630
0,De Bruyne,Midfielder,Man City,9.4,1,1,1,3,356
0,Dibling,Midfielder,Southampton,4.6,1,0,1,10,368
0,Faes,Defender,Leicester,4.1,1,0,1,12,630
0,Gravenberch,Midfielder,Liverpool,5,0,0,5,2,630
0,Kilman,Defender,West Ham,4.5,0,1,1,11,630
0,Morsy,Midfielder,Ipswich,4.9,1,0,1,14,623
0,Muniz,Forward,Fulham,5.8,1,1,1,4,287
0,Ndiaye,Forward,Everton,5.4,1,0,2,8,482
0,Sancho,Midfielder,Chelsea,6.4,0,4,0,3,260
0,Sinisterra,Midfielder,Bournemouth,5,1,1,0,3,176
0,Anderson,Midfielder,Nottm Forest,5,0,1,2,6,421
0,Caicedo,Midfielder,Chelsea,4.9,0,1,2,8,615
0,Evanilson,Forward,Bournemouth,5.9,1,0,2,7,432
0,Gibbs-White,Midfielder,Nottm Forest,6.3,1,0,2,5,507
0,Hall,Defender,Newcastle,4.3,0,0,2,3,427
0,Janelt,Midfielder,Brentford,4.9,0,1,1,12,560
0,Konsa,Defender,Aston Villa,4.5,1,0,0,9,551
0,Lewis-Potter,Midfielder,Brentford,5,0,2,0,11,456
0,O.Dango,Midfielder,Bournemouth,5,1,1,0,3,260
0,A.Fatawu,Midfielder,Leicester,5.4,0,1,0,7,275
0,Akanji,Defender,Man City,5.5,0,0,1,7,601
0,Areola,Goalkeeper,West Ham,4.5,0,0,1,10,585
0,B.Fernandes,Midfielder,Man Utd,8.2,0,1,4,7,569
0,Doku,Midfielder,Man City,6.3,1,0,1,5,333
0,Dunk,Defender,Brighton,4.5,0,0,2,10,615
0,Hutchinson,Midfielder,Ipswich,5.3,0,1,1,14,614
0,J.Murphy,Midfielder,Newcastle,5.2,0,2,1,4,408
0,Mitchell,Defender,Crystal Palace,4.9,0,1,1,10,597
0,Zirkzee,Forward,Man Utd,6.8,1,0,2,5,380
0,Bassey,Defender,Fulham,4.5,0,0,1,8,630
0,Cucurella,Defender,Chelsea,5,0,0,2,7,590
0,Harrison,Midfielder,Everton,5.3,0,1,1,10,434
0,Keane,Defender,Everton,4,1,0,1,14,540
0,Livramento,Defender,Newcastle,4.5,0,0,1,4,347
0,Mac Allister,Midfielder,Liverpool,6.3,0,0,4,1,554
0,Munoz,Defender,Crystal Palace,4.9,0,1,1,10,546
0,Tete,Defender,Fulham,4.5,0,0,1,7,616
0,Yates,Midfielder,Nottm Forest,4.9,0,1,1,3,446
0,Young,Defender,Everton,4.5,0,2,1,8,425
0,Adingra,Midfielder,Brighton,5.5,1,1,0,1,134
0,Grealish,Midfielder,Man City,6.4,0,1,0,4,326
0,Harwood-Bellis,Defender,Southampton,4,1,0,0,11,499
0,Mavropanos,Defender,West Ham,4.5,0,0,1,9,495
0,Norgaard,Midfielder,Brentford,4.8,1,0,0,8,436
0,Pau,Defender,Aston Villa,4.5,0,0,1,9,630
0,Schade,Midfielder,Brentford,5.3,0,1,1,5,371
0,Smith,Defender,Bournemouth,4.5,0,0,1,3,326
0,Sugawara,Defender,Southampton,4.5,1,0,0,15,565
0,Szmodics,Midfielder,Ipswich,5.9,1,0,0,5,303
0,Tarkowski,Defender,Everton,4.8,0,0,1,15,630
0,Andersen,Defender,Fulham,4.4,0,0,1,7,450
0,Bailey,Midfielder,Aston Villa,6.3,0,1,1,4,348
0,Calafiori,Defender,Arsenal,5.8,1,0,0,4,294
0,M.Fernandes,Midfielder,Southampton,5,0,1,1,9,371
0,Mainoo,Midfielder,Man Utd,5.2,0,0,4,6,571
0,Nelson,Midfielder,Fulham,5,1,1,0,2,76
0,Nkunku,Midfielder,Chelsea,6,1,0,0,1,125
0,Pinnock,Defender,Brentford,4.5,1,0,0,13,630
0,Ramsey,Midfielder,Aston Villa,5.5,0,1,0,8,335
0,Schar,Defender,Newcastle,5.4,1,0,1,5,387
0,Trippier,Defender,Newcastle,5.7,0,0,1,3,278
0,Udogie,Defender,Spurs,4.9,0,0,1,8,567
0,Archer,Forward,Southampton,5,1,0,0,7,278
0,Christie,Midfielder,Bournemouth,4.9,0,0,2,7,453
0,Elanga,Midfielder,Nottm Forest,5.2,0,1,1,4,360
0,Enzo,Midfielder,Chelsea,4.9,0,0,1,8,511
0,G.Rodriguez,Midfielder,West Ham,4.9,0,0,1,10,529
0,Kluivert,Midfielder,Bournemouth,5.3,0,1,2,6,380
0,Kristiansen,Defender,Leicester,4.5,0,0,1,12,624
0,Lacroix,Defender,Crystal Palace,4.5,0,1,1,5,360
0,Ramsdale,Goalkeeper,Southampton,4.4,0,0,0,13,450
0,Wharton,Midfielder,Crystal Palace,4.8,0,0,0,9,534
0,Zabarnyi,Defender,Bournemouth,4.5,0,0,0,10,630
0,A.Doucoure,Midfielder,Everton,5.2,0,0,1,9,395
0,Arrizabalaga,Goalkeeper,Bournemouth,4.5,0,0,0,7,360
0,Bissouma,Midfielder,Spurs,4.9,1,0,1,2,190
0,Downes,Midfielder,Southampton,4.9,0,0,0,15,630
0,Emerson,Defender,West Ham,4.4,0,0,1,10,503
0,Evans,Defender,Man Utd,4.4,0,0,1,0,112
0,Greaves,Defender,Ipswich,4.1,0,0,1,14,630
0,Kamada,Midfielder,Crystal Palace,5.2,0,0,1,6,362
0,Lukic,Midfielder,Fulham,4.9,0,0,2,6,548
0,N.Williams,Defender,Nottm Forest,4.5,0,0,1,2,339
0,Okoli,Defender,Leicester,4,0,0,1,8,450
0,Tuanzebe,Defender,Ipswich,4,0,0,1,10,512
0,W.Fofana,Defender,Chelsea,4.5,0,0,1,8,596
0,Werner,Midfielder,Spurs,6.2,0,1,1,4,192
0,Winks,Midfielder,Leicester,4.5,0,0,0,12,540
0,Alex Moreno,Defender,Nottm Forest,4.4,0,0,1,4,288
0,Aribo,Midfielder,Southampton,4.9,0,0,0,9,361
0,Gana,Midfielder,Everton,4.9,0,0,0,12,373
0,Gundogan,Midfielder,Man City,6.5,0,0,0,6,374
0,I.Sarr,Midfielder,Crystal Palace,5.8,0,1,0,2,218
0,Ings,Forward,West Ham,5,1,0,0,0,28
0,J.Gomes,Midfielder,Wolves,4.9,0,0,0,18,569
0,Johnstone,Goalkeeper,Wolves,4.4,0,0,0,13,450
0,Kerkez,Defender,Bournemouth,4.5,0,0,0,10,577
0,Krafth,Defender,Newcastle,4.5,0,0,1,2,240
0,P.M.Sarr,Midfielder,Spurs,4.9,0,1,0,2,211
0,Ruben,Defender,Man City,5.5,0,0,1,7,546
0,Stones,Defender,Man City,5.3,1,0,0,2,147
0,Verbruggen,Goalkeeper,Brighton,4.5,0,0,1,9,450
0,Barkley,Midfielder,Aston Villa,5.2,0,1,1,2,211
0,Bentancur,Midfielder,Spurs,5,0,0,1,6,382
0,Brereton Diaz,Midfielder,Southampton,5.2,0,0,0,8,389
0,C.Richards,Defender,Crystal Palace,4.4,0,0,1,5,343
0,Casemiro,Midfielder,Man Utd,4.8,0,0,1,6,278
0,Cash,Defender,Aston Villa,4.4,0,0,1,1,186
0,Clyne,Defender,Crystal Palace,4.4,0,0,1,3,226
0,Coufal,Defender,West Ham,4.4,0,0,1,3,198
0,Darwin,Forward,Liverpool,7.1,1,0,1,1,133
0,Diego Carlos,Defender,Aston Villa,4.5,0,0,1,3,258
0,Eriksen,Midfielder,Man Utd,5.4,0,0,3,1,259
0,Gakpo,Forward,Liverpool,7.1,0,1,1,1,207
0,J.Ayew,Midfielder,Leicester,5.2,0,0,1,8,377
0,J.Clarke,Midfielder,Ipswich,5.5,0,1,0,6,231
0,Jensen,Midfielder,Brentford,5.3,0,1,0,3,238
0,Joao Felix,Midfielder,Chelsea,6.2,1,0,0,0,118
0,Kelleher,Goalkeeper,Liverpool,4.4,0,0,1,0,90
0,Lallana,Midfielder,Southampton,5,0,2,0,1,113
0,Longstaff,Midfielder,Newcastle,4.8,0,0,1,3,302
0,McGinn,Midfielder,Aston Villa,5.2,0,0,1,5,349
0,O'Shea,Defender,Ipswich,4,0,0,1,7,360
0,Steele,Goalkeeper,Brighton,4.4,0,0,1,1,180
0,Tsimikas,Defender,Liverpool,4.7,0,0,1,0,111
0,Wan-Bissaka,Defender,West Ham,4.5,0,0,0,9,478
0,Wieffer,Midfielder,Brighton,4.9,0,1,1,5,190
0,Ayari,Midfielder,Brighton,5,0,0,1,1,198
0,Bednarek,Defender,Southampton,4,0,0,0,15,620
0,Diop,Defender,Fulham,4.5,0,0,0,3,278
0,Iroegbunam,Midfielder,Everton,4.5,0,0,0,13,381
0,Jota Silva,Midfielder,Nottm Forest,5.9,0,1,0,0,113
0,Kelly,Defender,Newcastle,4.4,0,1,0,4,203
0,Maguire,Defender,Man Utd,4.9,0,0,1,1,240
0,Neto,Midfielder,Chelsea,6.2,0,1,0,2,240
0,Phillips,Midfielder,Ipswich,4.9,0,0,1,7,300
0,Rice,Midfielder,Arsenal,6.3,0,0,2,6,492
0,Scott,Midfielder,Bournemouth,4.9,0,0,0,3,196
0,Skipp,Midfielder,Leicester,4.9,0,0,1,6,356
0,Sosa,Midfielder,Nottm Forest,5.5,1,0,0,0,56
0,Tosin,Defender,Chelsea,4.4,0,0,1,0,119
0,Willock,Midfielder,Newcastle,4.8,0,1,0,2,144
0,Ajer,Defender,Brentford,4.5,0,0,0,10,547
0,Chaplin,Midfielder,Ipswich,5.2,0,0,0,1,96
0,De Cordova-Reid,Midfielder,Leicester,5.3,0,0,0,4,157
0,Disasi,Defender,Chelsea,4.4,0,0,1,0,94
0,Garner,Midfielder,Everton,5,0,0,1,4,251
0,Hee Chan,Midfielder,Wolves,6.1,0,0,0,9,252
0,Lerma,Midfielder,Crystal Palace,4.8,0,0,1,4,303
0,Maatsen,Defender,Aston Villa,4.8,0,0,0,1,118
0,Matheus N.,Midfielder,Man City,4.9,0,1,0,0,21
0,Neto,Goalkeeper,Arsenal,4.3,0,0,0,2,180
0,Nketiah,Forward,Crystal Palace,5.9,0,0,1,5,317
0,Roerslev,Defender,Brentford,4.4,0,0,0,6,261
0,Tonali,Midfielder,Newcastle,5.5,0,0,1,2,230
0,Walker,Defender,Man City,5.3,0,0,0,5,287
