Id,Name,Team,Position,Price,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointRating,PointsInLastFive,MinutesInLastFive,GoalsInLastFive,xGoalsInLastFive,xAssistsInLastFive,CleanSheetsInLastFive,GoalsConcededInLastFive,xGoalsConcededInLastFive,SavesInLastFive,BonusPointsInLastFive,BonusPointsRatingInLastFive,Opponent,OpponentGoalsScored,OpponentGoalsConceded,OpponentGoalsScoredInLastFive,OpponentGoalsConcededInLastFive,ActualPoints
44,Konsa,AstonVilla,Defender,4.5,6,15,450,1,0,0.28,0.05,0,7,5.19,0,1,75,15,450,0,0.28,0.05,0,7,5.19,0,1,75,Ipswich,5,10,5,8,1
45,Maatsen,AstonVilla,Defender,4.8,6,5,107,0,0,0.01,0.55,0,1,1.72,0,0,17,5,107,0,0.01,0.55,0,1,1.72,0,0,17,Ipswich,5,10,5,8,1
47,Martinez,AstonVilla,Goalkeeper,5,6,9,450,0,0,0,0,0,7,5.19,10,0,41,9,450,0,0,0,0,7,5.19,10,0,41,Ipswich,5,10,5,8,2
48,McGinn,AstonVilla,Midfielder,5.2,6,9,349,0,0,0.51,0.54,1,5,3.41,0,0,45,9,349,0,0.51,0.54,1,5,3.41,0,0,45,Ipswich,5,10,5,8,0
50,Nedeljkovic,AstonVilla,Defender,4,6,3,93,0,0,0,0.02,0,2,1.84,0,0,13,3,93,0,0,0.02,0,2,1.84,0,0,13,Ipswich,5,10,5,8,0
52,Pau,AstonVilla,Defender,4.5,6,7,450,0,0,0,0.08,0,7,5.19,0,0,40,7,450,0,0,0.08,0,7,5.19,0,0,40,Ipswich,5,10,5,8,1
53,Ramsey,AstonVilla,Midfielder,5.5,6,11,245,0,1,0.41000000000000003,0.79,0,6,3.26,0,0,55,11,245,1,0.41000000000000003,0.79,0,6,3.26,0,0,55,Ipswich,5,10,5,8,2
54,Rogers,AstonVilla,Midfielder,5.3,6,18,450,0,2,0.55,0.99,0,7,5.19,0,3,76,18,450,2,0.55,0.99,0,7,5.19,0,3,76,Ipswich,5,10,5,8,7
57,Tielemans,AstonVilla,Midfielder,5.5,6,17,450,0,2,0.18,1.38,0,7,5.19,0,2,109,17,450,2,0.18,1.38,0,7,5.19,0,2,109,Ipswich,5,10,5,8,2
58,Watkins,AstonVilla,Forward,9.1,6,28,358,3,1,3.0999999999999996,0.14,2,4,3.13,0,3,96,28,358,1,3.0999999999999996,0.14,2,4,3.13,0,3,96,Ipswich,5,10,5,8,11
233,Onana,AstonVilla,Midfielder,5.1,6,23,332,2,0,1.11,0.11,1,5,4.3,0,5,83,23,332,0,1.11,0.11,1,5,4.3,0,5,83,Ipswich,5,10,5,8,2
569,Jaden,AstonVilla,Midfielder,5.3,6,1,17,0,0,0.07,0.01,0,0,1.1500000000000001,0,0,6,1,17,0,0.07,0.01,0,0,1.1500000000000001,0,0,6,Ipswich,5,10,5,8,1
598,Bogarde,AstonVilla,Defender,4,6,2,168,0,0,0,0.08,0,3,1.3,0,0,6,2,168,0,0,0.08,0,3,1.3,0,0,6,Ipswich,5,10,5,8,0
