Name,Week,FixtureIds,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
G.Jesus,6,51,1,1,0,0,0.11,0,0,0,0,0,0,4
Gabriel,6,51,1,90,0,0,0.27,0.05,0,2,0.32,0,0,7
Havertz,6,51,6,90,1,0,1.89,0.04,0,2,0.32,0,0,25
J.Timber,6,51,4,90,0,1,0.21,0.12,0,2,0.32,0,0,25
Jorginho,6,51,0,0,0,0,0,0,0,0,0,0,0,0
Kiwior,6,51,0,0,0,0,0,0,0,0,0,0,0,0
Martinelli,6,51,13,73,1,1,0.39,0.55,0,2,0.32,0,3,39
Nelson,6,59,1,21,0,0,0.02,0.01,0,0,0.16,0,0,3
Nketiah,6,55,2,72,0,0,0.09,0.01,0,2,0.87,0,0,4
Nwaneri,6,51,1,5,0,0,0.02,0.16,0,0,0,0,0,6
Odegaard,6,51,0,0,0,0,0,0,0,0,0,0,0,0
Ramsdale,6,52,2,90,0,0,0,0,0,3,1.38,3,0,5
Raya,6,51,1,90,0,0,0,0,0,2,0.32,1,0,1
Rice,6,51,2,90,0,0,0.06,0.22,0,2,0.32,0,0,22
Saka,6,51,3,90,0,0,0.29,0.79,0,2,0.32,0,1,37
Saliba,6,51,0,90,0,0,0,0.01,0,2,0.32,0,0,4
Smith Rowe,6,59,3,87,0,0,0.15,0.05,1,0,0.78,0,0,13
Thomas,6,51,2,84,0,0,0,0.09,0,2,0.32,0,0,20
Tomiyasu,6,51,0,0,0,0,0,0,0,0,0,0,0,0
Trossard,6,51,12,90,1,1,1.11,0.12,0,2,0.32,0,2,38
White,6,51,0,0,0,0,0,0,0,0,0,0,0,0
Zinchenko,6,51,0,0,0,0,0,0,0,0,0,0,0,0
Alex Moreno,6,59,2,83,0,0,0.05,0.01,0,1,1.32,0,0,2
Archer,6,52,1,14,0,0,0,0,0,0,0.09,0,0,4
Bailey,6,56,5,63,0,1,0,0.45,0,1,0.55,0,0,21
Barkley,6,56,1,6,0,0,0.02,0,0,0,0.07,0,0,4
Buendia,6,56,1,6,0,0,0.09,0,0,0,0.07,0,0,4
Cash,6,56,0,0,0,0,0,0,0,0,0,0,0,0
Diego Carlos,6,56,1,90,0,0,0,0.01,0,2,1.18,0,0,1
Digne,6,56,0,83,0,0,0,0.02,0,2,1.12,0,0,4
Duran,6,56,1,26,0,0,0,0,0,1,0.63,0,0,7
Konsa,6,56,1,90,0,0,0,0.02,0,2,1.18,0,0,6
Maatsen,6,56,1,6,0,0,0,0,0,0,0.07,0,0,3
Martinez,6,56,2,90,0,0,0,0,0,2,1.18,3,0,10
McGinn,6,56,0,0,0,0,0,0,0,0,0,0,0,0
Nedeljkovic,6,56,0,0,0,0,0,0,0,0,0,0,0,0
Pau,6,56,1,90,0,0,0,0.02,0,2,1.18,0,0,6
Ramsey,6,56,2,90,0,0,0.05,0.04,0,2,1.18,0,0,14
Rogers,6,56,7,63,1,0,0.24,0.14,0,1,0.55,0,0,14
Tielemans,6,56,2,83,0,0,0.03,0.16,0,2,1.12,0,0,18
Watkins,6,56,11,83,1,1,0.4,0.13,0,2,1.12,0,2,38
Brooks,6,52,0,0,0,0,0,0,0,0,0,0,0,0
Christie,6,52,2,90,0,0,0.04,0.01,0,1,0.6,0,0,13
Cook,6,52,10,90,0,2,0.1,0.21,0,1,0.6,0,2,33
Enes Ünal,6,52,1,14,0,0,0,0.01,0,0,0.02,0,0,4
Jebbison,6,52,0,0,0,0,0,0,0,0,0,0,0,0
Kerkez,6,52,1,90,0,0,0.02,0.01,0,1,0.6,0,0,3
Kluivert,6,52,1,29,0,0,0.07,0.03,0,0,0.07,0,0,3
N.Neto,6,51,0,0,0,0,0,0,0,0,0,0,0,0
O.Dango,6,52,8,60,1,0,0.42,0.02,0,1,0.53,0,1,31
Philip,6,52,0,0,0,0,0,0,0,0,0,0,0,0
Scott,6,52,1,14,0,0,0,0,0,0,0.02,0,0,3
Semenyo,6,52,7,88,1,0,0.2,0.1,0,1,0.6,0,0,24
Senesi,6,52,2,90,0,0,0,0.16,0,1,0.6,0,0,12
Sinisterra,6,52,1,1,0,0,0.06,0,0,0,0,0,0,4
Smith,6,52,2,90,0,0,0,0.01,0,1,0.6,0,0,8
Solanke,6,57,6,90,1,0,1.33,0.01,1,0,0.96,0,0,29
Tavernier,6,52,4,75,0,1,0.04,0.11,0,1,0.58,0,0,18
Travers,6,52,0,0,0,0,0,0,0,0,0,0,0,0
Zabarnyi,6,52,2,90,0,0,0,0,0,1,0.6,0,0,6
Ajer,6,53,2,90,0,0,0,0.02,0,1,0.99,0,0,10
Collins,6,53,2,90,0,0,0,0.05,0,1,0.99,0,0,10
Damsgaard,6,53,3,90,0,0,0,0.07,0,1,0.99,0,1,18
Flekken,6,53,2,90,0,0,0,0,0,1,0.99,2,0,11
Janelt,6,53,2,90,0,0,0,0.03,0,1,0.99,0,0,13
Jensen,6,53,0,0,0,0,0,0,0,0,0,0,0,0
Konak,6,53,1,5,0,0,0,0,0,0,0.06,0,0,1
