Name,Week,FixtureIds,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
G.Jesus,4,39,1,10,0,0,0,0,0,0,0.13,0,0,1
Gabriel,4,39,15,90,1,0,0.27,0,1,0,0.74,0,3,40
Havertz,4,39,2,90,0,0,0.14,0,1,0,0.74,0,0,9
J.Timber,4,39,5,90,0,0,0.05,0.01,1,0,0.74,0,0,20
Jorginho,4,39,2,90,0,0,0,0,1,0,0.74,0,0,0
Kiwior,4,39,0,0,0,0,0,0,0,0,0,0,0,0
Martinelli,4,39,3,79,0,0,0.17,0.14,1,0,0.61,0,0,18
Nelson,4,35,0,24,0,0,0.08,0.01,0,1,0.33,0,0,2
Nketiah,4,34,2,90,0,0,0.34,0.23,0,2,1.23,0,0,7
Nwaneri,4,39,1,4,0,0,0,0,0,0,0.09,0,0,5
Odegaard,4,39,0,0,0,0,0,0,0,0,0,0,0,0
Ramsdale,4,38,3,90,0,0,0,0,0,3,2.67,7,0,12
Raya,4,39,9,90,0,0,0,0,1,0,0.74,5,2,33
Rice,4,39,0,0,0,0,0,0,0,0,0,0,0,0
Saka,4,39,7,85,0,1,0.05,0.35,1,0,0.65,0,1,25
Saliba,4,39,5,90,0,0,0,0.01,1,0,0.74,0,0,22
Smith Rowe,4,35,7,72,0,1,0.22,0.66,1,0,0.42,0,1,23
Thomas,4,39,3,90,0,0,0,0.07,1,0,0.74,0,0,12
Tomiyasu,4,39,0,0,0,0,0,0,0,0,0,0,0,0
Trossard,4,39,3,79,0,0,0.05,0.03,1,0,0.61,0,0,13
White,4,39,6,90,0,0,0,0.01,1,0,0.74,0,0,23
Zinchenko,4,39,0,0,0,0,0,0,0,0,0,0,0,0
Alex Moreno,4,36,6,79,0,0,0,0.01,1,0,0.85,0,1,27
Archer,4,38,0,61,0,0,0.83,0,0,2,1.85,0,0,-5
Bailey,4,31,0,0,0,0,0,0,0,0,0,0,0,0
Barkley,4,31,4,45,0,1,0.03,0.04,0,0,0.23,0,0,18
Buendia,4,31,1,6,0,0,0,0.01,0,0,0.09,0,0,3
Cash,4,31,0,0,0,0,0,0,0,0,0,0,0,0
Diego Carlos,4,31,0,0,0,0,0,0,0,0,0,0,0,0
Digne,4,31,4,68,0,1,0,0.68,0,2,0.67,0,0,26
Duran,4,31,6,21,1,0,0.33,0,0,0,0.23,0,1,27
Konsa,4,31,1,90,0,0,0,0.01,0,2,0.9,0,0,12
Maatsen,4,31,1,21,0,0,0,0.4,0,0,0.23,0,0,9
Martinez,4,31,0,90,0,0,0,0,0,2,0.9,0,0,-3
McGinn,4,31,2,89,0,0,0.09,0.32,0,2,0.81,0,0,18
Nedeljkovic,4,31,0,0,0,0,0,0,0,0,0,0,0,0
Pau,4,31,1,90,0,0,0,0.04,0,2,0.9,0,0,7
Ramsey,4,31,2,68,0,0,0.26,0.07,0,2,0.67,0,0,7
Rogers,4,31,2,90,0,0,0.23,0.04,0,2,0.9,0,0,3
Tielemans,4,31,2,90,0,0,0,0.42,0,2,0.9,0,0,20
Watkins,4,31,13,83,2,0,1.18,0.07,0,2,0.81,0,3,52
Brooks,4,32,0,0,0,0,0,0,0,0,0,0,0,0
Christie,4,32,2,67,0,0,0.08,0.06,1,0,0.47,0,0,10
Cook,4,32,1,90,0,0,0.04,0.01,0,1,0.78,0,0,6
Enes Ünal,4,32,1,7,0,0,0.08,0.04,0,1,0.3,0,0,7
Jebbison,4,32,0,0,0,0,0,0,0,0,0,0,0,0
Kerkez,4,32,2,90,0,0,0.07,0,0,1,0.78,0,0,9
Kluivert,4,32,2,74,0,0,0.29,0.02,1,0,0.47,0,0,7
N.Neto,4,39,0,0,0,0,0,0,0,0,0,0,0,0
O.Dango,4,32,0,0,0,0,0,0,0,0,0,0,0,0
Philip,4,32,1,15,0,0,0,0.09,0,1,0.32,0,0,4
Scott,4,32,1,22,0,0,0,0,0,1,0.32,0,0,5
Semenyo,4,32,1,90,0,0,0.1,0.03,0,1,0.78,0,0,4
Senesi,4,32,1,90,0,0,0,0.01,0,1,0.78,0,0,-1
Sinisterra,4,32,1,22,0,0,0.09,0,0,1,0.32,0,0,3
Smith,4,32,5,74,0,0,0,0,1,0,0.47,0,0,19
Solanke,4,39,2,90,0,0,0.17,0.03,0,1,0.73,0,0,0
Tavernier,4,32,3,82,0,0,0.1,0.26,1,0,0.48,0,0,9
Travers,4,32,2,90,0,0,0,0,0,1,0.78,2,0,8
Zabarnyi,4,32,2,90,0,0,0,0.01,0,1,0.78,0,0,8
Ajer,4,37,1,71,0,0,0,0.02,0,2,1.08,0,0,7
Collins,4,37,0,90,0,0,0.14,0.01,0,2,2.17,0,0,3
Damsgaard,4,37,2,83,0,0,0,0.24,0,2,2.17,0,0,9
Flekken,4,37,2,90,0,0,0,0.01,0,2,2.17,5,0,16
Janelt,4,37,2,71,0,0,0,0.04,0,2,1.08,0,0,12
Jensen,4,37,0,0,0,0,0,0,0,0,0,0,0,0
Konak,4,37,0,0,0,0,0,0,0,0,0,0,0,0
Lewis-Potter,4,37,2,90,0,0,0.02,0.03,0,2,2.17,0,0,7
Mbeumo,4,37,2,90,0,0,0.19,0.35,0,2,2.17,0,0,12
Mee,4,37,0,0,0,0,0,0,0,0,0,0,0,0
Norgaard,4,37,2,90,0,0,0,0.03,0,2,2.17,0,0,24
Onyeka,4,37,0,0,0,0,0,0,0,0,0,0,0,0
Pinnock,4,37,1,90,0,0,0.22,0.03,0,2,2.17,0,0,12
Roerslev,4,37,1,18,0,0,0,0,0,0,1.09,0,0,3
Schade,4,37,1,45,0,0,0,0.02,0,0,1.49,0,0,8
Wissa,4,37,7,45,1,0,0.34,0,0,2,0.68,0,2,31
Yarmoliuk,4,37,1,6,0,0,0.04,0,0,0,0,0,0,2
Adingra,4,33,1,22,0,0,0.03,0.01,0,0,0.14,0,0,2
Baleba,4,33,3,90,0,0,0.2,0.04,1,0,0.35,0,0,21
Buonanotte,4,34,0,0,0,0,0,0,0,0,0,0,0,0
Dunk,4,33,6,90,0,0,0.09,0.01,1,0,0.35,0,0,26
Enciso,4,33,1,23,0,0,0.05,0.01,0,0,0.14,0,0,6
Estupinan,4,33,0,0,0,0,0,0,0,0,0,0,0,0
Ferguson,4,33,1,5,0,0,0.06,0,0,0,0,0,0,1
Gilmour,4,33,0,0,0,0,0,0,0,0,0,0,0,0
