Name,Team,Position,Price,Points,Goals,Assists,Clean Sheets,Goals Conceded
Dennis,Goalkeeper,Bournemouth,4.0,0,0,0,0,0
Devine,Midfielder,Spurs,4.4,0,0,0,0,0
Diego Costa,Forward,Wolves,5.5,0,0,0,0,0
Drager,Defender,Nottm Forest,4.0,0,0,0,0,0
Dubravka,Goalkeeper,Man Utd,4.3,0,0,0,0,0
Dummett,Defender,Newcastle,3.9,0,0,0,0,0
El Ghazi,Midfielder,Aston Villa,4.8,0,0,0,0,0
Enciso,Forward,Brighton,4.8,0,0,0,0,0
Fabio Silva,Forward,Wolves,5.5,0,0,0,0,0
Faes,Defender,Leicester,4.5,0,0,0,0,0
Ferguson,Defender,Crystal Palace,3.9,0,0,0,0,0
Ferguson,Forward,Brighton,4.5,0,0,0,0,0
Fernandez,Defender,Newcastle,4.4,0,0,0,0,0
Firpo,Defender,Leeds,4.5,0,0,0,0,0
Forss,Forward,Brentford,4.5,0,0,0,0,0
Forster,Goalkeeper,Spurs,4.0,0,0,0,0,0
Garner,Midfielder,Everton,4.5,0,0,0,0,0
Gayle,Forward,Newcastle,4.5,0,0,0,0,0
Gazzaniga,Goalkeeper,Fulham,4.0,0,0,0,0,0
Gbamin,Midfielder,Everton,4.5,0,0,0,0,0
Gnonto,Forward,Leeds,5.0,0,0,0,0,0
Gomes,Midfielder,Man City,4.5,0,0,0,0,0
Goode,Defender,Brentford,4.0,0,0,0,0,0
Gray,Midfielder,Leeds,4.5,0,0,0,0,0
Guilbert,Defender,Aston Villa,4.0,0,0,0,0,0
Gyabi,Midfielder,Leeds,4.4,0,0,0,0,0
H.Davies,Goalkeeper,Liverpool,4.0,0,0,0,0,0
Hammond,Midfielder,Nottm Forest,4.4,0,0,0,0,0
Harris,Midfielder,Fulham,4.5,0,0,0,0,0
Hause,Defender,Aston Villa,4.4,0,0,0,0,0
Heaton,Goalkeeper,Man Utd,4.0,0,0,0,0,0
Hendrick,Midfielder,Newcastle,4.5,0,0,0,0,0
Hennessey,Goalkeeper,Nottm Forest,4.0,0,0,0,0,0
Hill,Defender,Bournemouth,4.4,0,0,0,0,0
Hjelde,Defender,Leeds,3.9,0,0,0,0,0
Hodge,Midfielder,Wolves,4.4,0,0,0,0,0
Hudson-Odoi,Midfielder,Chelsea,5.3,0,0,0,0,0
Iqbal,Midfielder,Man Utd,4.3,0,0,0,0,0
Iroegbunam,Midfielder,Aston Villa,4.5,0,0,0,0,0
Iversen,Goalkeeper,Leicester,3.9,0,0,0,0,0
Johnstone,Goalkeeper,Crystal Palace,4.4,0,0,0,0,0
Jones,Midfielder,Liverpool,4.9,0,0,0,0,0
Jones,Defender,Man Utd,3.9,0,0,0,0,0
Keita,Midfielder,Liverpool,4.8,0,0,0,0,0
Kelleher,Goalkeeper,Liverpool,4.0,0,0,0,0,0
Kenedy,Defender,Chelsea,3.9,0,0,0,0,0
Kesler Hayden,Defender,Aston Villa,4.0,0,0,0,0,0
Klaesson,Goalkeeper,Leeds,4.0,0,0,0,0,0
Knight,Midfielder,Man City,4.5,0,0,0,0,0
Knockaert,Midfielder,Fulham,4.8,0,0,0,0,0
Konate,Defender,Liverpool,4.8,0,0,0,0,0
Kongolo,Defender,Fulham,3.9,0,0,0,0,0
Kovar,Goalkeeper,Man Utd,4.0,0,0,0,0,0
Kozlowski,Midfielder,Brighton,4.5,0,0,0,0,0
Kurzawa,Defender,Fulham,4.5,0,0,0,0,0
Laporte,Defender,Man City,5.8,0,0,0,0,0
Larios,Defender,Southampton,4.0,0,0,0,0,0
Laryea,Defender,Nottm Forest,4.5,0,0,0,0,0
Lascelles,Defender,Newcastle,4.3,0,0,0,0,2
Lewis,Defender,Newcastle,4.4,0,0,0,0,0
Lindelof,Defender,Man Utd,4.3,0,0,0,0,0
Lis,Goalkeeper,Southampton,4.0,0,0,0,0,0
Livramento,Defender,Southampton,4.4,0,0,0,0,0
Lolley,Midfielder,Nottm Forest,4.9,0,0,0,0,0
Manquillo,Defender,Newcastle,4.3,0,0,0,0,0
Marquinhos,Midfielder,Arsenal,4.8,0,0,0,0,0
Masuaku,Defender,West Ham,4.5,0,0,0,0,0
Matthews,Goalkeeper,Crystal Palace,4.0,0,0,0,0,0
Mbe Soh,Defender,Nottm Forest,4.3,0,0,0,0,0
Mbete,Defender,Man City,3.9,0,0,0,0,0
McArthur,Midfielder,Crystal Palace,4.8,0,0,0,0,0
McAtee,Midfielder,Man City,4.5,0,0,0,0,0
McCarthy,Goalkeeper,Southampton,4.4,0,0,0,0,0
Mendy,Midfielder,Leicester,4.4,0,0,0,0,0
Mills,Midfielder,Everton,4.5,0,0,0,0,0
Moder,Midfielder,Brighton,4.4,0,0,0,0,0
Mosquera,Defender,Wolves,3.9,0,0,0,0,0
Muniz,Forward,Fulham,5.4,0,0,0,0,0
Nakamba,Midfielder,Aston Villa,4.4,0,0,0,0,0
Nelson,Midfielder,Arsenal,4.9,0,0,0,0,0
Nkounkou,Defender,Everton,4.0,0,0,0,0,0
Ojeda,Midfielder,Nottm Forest,4.5,0,0,0,0,0
Oko-Flex,Midfielder,West Ham,4.4,0,0,0,0,0
Olsen,Goalkeeper,Aston Villa,4.0,0,0,0,0,0
Onomah,Midfielder,Fulham,4.4,0,0,0,0,0
Ortega,Goalkeeper,Man City,3.9,0,0,0,0,0
Pablo Mari,Defender,Arsenal,4.5,0,0,0,0,0
Panzo,Defender,Nottm Forest,4.0,0,0,0,0,0
Parrott,Forward,Spurs,4.5,0,0,0,0,0
Pellistri,Midfielder,Man Utd,4.4,0,0,0,0,0
Phillips,Midfielder,Crystal Palace,4.5,0,0,0,0,0
Philogene-Bidace,Midfielder,Aston Villa,4.5,0,0,0,0,0
Pinnock,Defender,Brentford,4.4,0,0,0,0,0
Plange,Forward,Crystal Palace,4.5,0,0,0,0,0
Pepe,Midfielder,Arsenal,5.3,0,0,0,0,0
R.Williams,Defender,Liverpool,4.0,0,0,0,0,0
Rak-Sakyi,Midfielder,Crystal Palace,4.5,0,0,0,0,0
Ramsay,Defender,Liverpool,3.9,0,0,0,0,0
Randolph,Goalkeeper,West Ham,4.0,0,0,0,0,0
Raphinha,Midfielder,Leeds,7.0,0,0,0,0,0
Reguilon,Defender,Spurs,4.2,0,0,0,0,0
Renan Lodi,Defender,Nottm Forest,4.5,0,0,0,0,8
Ricardo,Defender,Leicester,4.3,0,0,0,0,0
Richards,Defender,Nottm Forest,4.4,0,0,0,0,0
Richards,Midfielder,Brighton,4.5,0,0,0,0,0
Riedewald,Midfielder,Crystal Palace,4.4,0,0,0,0,0
Roberts,Defender,Brighton,4.0,0,0,0,0,0
Roberts,Midfielder,Leeds,5.0,0,0,0,0,0
Robles,Goalkeeper,Leeds,4.0,0,0,0,0,0
Rodney,Midfielder,Crystal Palace,4.5,0,0,0,0,0
Rodon,Defender,Spurs,4.0,0,0,0,0,0
Ronan,Midfielder,Wolves,4.4,0,0,0,0,0
Rothwell,Midfielder,Bournemouth,4.9,0,0,0,0,0
Samba,Goalkeeper,Nottm Forest,4.5,0,0,0,0,0
Sanson,Midfielder,Aston Villa,4.4,0,0,0,0,0
Sarmiento,Midfielder,Brighton,4.5,0,0,0,0,0
Sarr,Defender,Chelsea,5.0,0,0,0,0,0
Sarr,Midfielder,Spurs,4.4,0,0,0,0,0
Saydee,Forward,Bournemouth,4.5,0,0,0,0,0
Scarlett,Forward,Spurs,4.5,0,0,0,0,0
Scherpen,Goalkeeper,Brighton,4.0,0,0,0,0,0
Schmeichel,Goalkeeper,Leicester,5.0,0,0,0,0,0
Shackleton,Midfielder,Leeds,4.5,0,0,0,0,0
Shelvey,Midfielder,Newcastle,4.9,0,0,0,0,0
Skipp,Midfielder,Spurs,4.4,0,0,0,0,0
Smallbone,Midfielder,Southampton,4.5,0,0,0,0,0
Smith,Midfielder,Arsenal,4.5,0,0,0,0,0
Smith,Goalkeeper,Wolves,4.0,0,0,0,0,0
Smithies,Goalkeeper,Leicester,4.0,0,0,0,0,0
Stacey,Defender,Bournemouth,4.3,0,0,0,0,4
Steele,Goalkeeper,Brighton,4.0,0,0,0,0,0
Steffen,Goalkeeper,Man City,4.0,0,0,0,0,0
Stevens,Defender,Brentford,4.0,0,0,0,0,0
Strakosha,Goalkeeper,Brentford,4.4,0,0,0,0,0
Soyuncu,Defender,Leicester,4.3,0,0,0,0,0
Tanganga,Defender,Spurs,3.9,0,0,0,0,0
Tavares,Defender,Arsenal,4.5,0,0,0,0,0
Taylor,Forward,Nottm Forest,4.4,0,0,0,0,0
Tella,Midfielder,Southampton,5.0,0,0,0,0,0
Telles,Defender,Man Utd,5.0,0,0,0,0,0
Thompson,Defender,Brentford,4.0,0,0,0,0,0
Tomkins,Defender,Crystal Palace,3.9,0,0,0,0,0
Torreira,Midfielder,Arsenal,4.5,0,0,0,0,0
Toti,Defender,Wolves,3.9,0,0,0,0,0
Townsend,Midfielder,Everton,5.5,0,0,0,0,0
Traore,Midfielder,Aston Villa,4.9,0,0,0,0,0
Turner,Goalkeeper,Arsenal,3.9,0,0,0,0,0
Vale,Midfielder,Chelsea,4.5,0,0,0,0,0
Valery,Defender,Southampton,4.0,0,0,0,0,2
Van den Berg,Defender,Liverpool,4.0,0,0,0,0,0
Vestergaard,Defender,Leicester,3.9,0,0,0,0,0
Vlasic,Midfielder,West Ham,5.0,0,0,0,0,0
Walcott,Midfielder,Southampton,4.9,0,0,0,0,0
Warrington,Midfielder,Everton,4.4,0,0,0,0,0
Welch,Defender,Everton,4.0,0,0,0,0,0
Werner,Forward,Chelsea,7.9,0,0,0,0,0
White,Midfielder,Spurs,4.4,0,0,0,0,0
Whitworth,Goalkeeper,Crystal Palace,4.0,0,0,0,0,0
Wilson,Midfielder,Fulham,5.8,0,0,0,0,0
Wilson-Esbrand,Defender,Man City,3.9,0,0,0,0,0
Winks,Midfielder,Spurs,4.4,0,0,0,0,0
Xande Silva,Midfielder,Nottm Forest,5.0,0,0,0,0,0
Zakaria,Midfielder,Chelsea,5.0,0,0,0,0,0
Sarkic,Goalkeeper,Wolves,4.0,0,0,0,0,0
Maguire,Defender,Man Utd,4.7,-1,0,0,0,6
Senesi,Defender,Bournemouth,4.5,-1,0,0,0,11
Shaw,Defender,Man Utd,4.7,-1,0,0,0,6
Thomas,Defender,Leicester,4.3,-1,0,0,0,6
