Name,Team,Position,Price,Points,Goals,Assists,Clean Sheets,Goals Conceded
Carvalho,Midfielder,Liverpool,5.4,19,2,1,0,0
Dasilva,Midfielder,Brentford,4.6,19,2,0,1,4
Davies,Defender,Spurs,5.0,19,0,1,2,4
Gomez,Defender,Liverpool,4.5,19,0,0,2,3
Lerma,Midfielder,Bournemouth,5.0,19,1,0,2,18
Malacia,Defender,Man Utd,4.4,19,0,0,2,2
Mee,Defender,Brentford,4.5,19,1,0,1,9
Ramsdale,Goalkeeper,Arsenal,4.9,19,0,0,2,7
Rodri,Midfielder,Man City,5.9,19,0,2,2,6
Struijk,Defender,Leeds,4.5,19,0,1,1,10
Thiago Silva,Defender,Chelsea,5.5,19,0,1,1,9
Burn,Defender,Newcastle,4.5,18,0,0,2,6
Dewsbury-Hall,Midfielder,Leicester,5.0,18,1,0,0,11
Elliott,Midfielder,Liverpool,5.0,18,1,0,1,5
Fabianski,Goalkeeper,West Ham,5.0,18,0,0,1,6
Rice,Midfielder,West Ham,4.9,18,0,2,1,8
Sinisterra,Midfielder,Leeds,6.5,18,2,0,0,5
Botman,Defender,Newcastle,4.4,17,0,0,2,4
C.Doucoure,Midfielder,Crystal Palace,5.0,17,0,1,1,8
Mendy,Goalkeeper,Chelsea,4.9,17,0,0,1,9
Meslier,Goalkeeper,Leeds,4.5,17,0,0,1,10
Mitchell,Defender,Crystal Palace,4.5,17,0,1,1,6
Roca,Midfielder,Leeds,4.9,17,1,0,1,8
Solanke,Forward,Bournemouth,5.7,17,1,1,2,6
Son,Midfielder,Spurs,11.7,17,0,1,2,5
Varane,Defender,Man Utd,4.8,17,0,0,2,2
Vardy,Forward,Leicester,9.3,17,0,2,1,9
Antonio,Forward,West Ham,7.2,16,1,1,1,5
Billing,Midfielder,Bournemouth,5.3,16,1,0,2,10
De Cordova-Reid,Midfielder,Fulham,5.5,16,1,0,1,8
Eriksen,Midfielder,Man Utd,6.3,16,0,1,2,8
Henry,Defender,Brentford,4.5,16,0,1,1,9
Joelinton,Midfielder,Newcastle,6.0,16,0,1,3,6
Matheus,Midfielder,Wolves,5.0,16,0,1,2,2
Robertson,Defender,Liverpool,6.8,16,0,1,1,6
Stones,Defender,Man City,5.4,16,0,2,1,6
Targett,Defender,Newcastle,4.9,16,0,0,2,2
Tete,Defender,Fulham,4.5,16,0,2,1,8
Tielemans,Midfielder,Leicester,6.3,16,0,1,0,14
Zouma,Defender,West Ham,4.5,16,0,0,1,8
Ake,Defender,Man City,5.0,15,0,0,2,0
Aribo,Midfielder,Southampton,5.4,15,1,0,0,7
Buendia,Midfielder,Aston Villa,5.9,15,1,0,0,7
Cook,Midfielder,Bournemouth,4.9,15,0,1,1,13
Guaita,Goalkeeper,Crystal Palace,4.5,15,0,0,1,9
Iwobi,Midfielder,Everton,5.5,15,0,1,1,6
Lingard,Midfielder,Nottm Forest,5.7,15,0,1,2,5
Neto,Midfielder,Wolves,5.2,15,0,0,4,3
Norgaard,Midfielder,Brentford,5.4,15,1,0,1,6
R.Sessegnon,Defender,Spurs,4.5,15,1,1,0,3
Tarkowski,Defender,Everton,4.4,15,0,0,1,6
Walker-Peters,Defender,Southampton,4.5,15,1,0,0,10
Willock,Midfielder,Newcastle,4.9,15,0,0,3,6
Alvarez,Forward,Man City,6.2,15,2,0,1,0
Awoniyi,Forward,Nottm Forest,5.8,14,1,0,2,5
Daka,Forward,Leicester,5.7,14,1,1,0,9
Havertz,Forward,Chelsea,7.7,14,1,0,1,7
Koulibaly,Defender,Chelsea,5.5,14,1,0,1,8
Llorente,Defender,Leeds,4.5,14,0,0,1,10
Martinez,Defender,Man Utd,4.5,14,0,0,2,8
Moore,Forward,Bournemouth,5.5,14,1,0,1,16
Mount,Midfielder,Chelsea,7.6,14,0,1,1,8
Mykolenko,Defender,Everton,4.5,14,0,0,1,6
Palhinha,Midfielder,Fulham,5.0,14,1,0,1,9
Patterson,Defender,Everton,4.1,14,0,0,1,6
Sanchez,Defender,Spurs,4.4,14,0,0,2,1
Tavernier,Midfielder,Bournemouth,4.9,14,0,0,2,18
Wilson,Forward,Newcastle,7.2,14,2,0,2,3
Ait-Nouri,Defender,Wolves,4.4,13,0,0,2,3
Bazunu,Goalkeeper,Southampton,4.5,13,0,0,0,10
Bowen,Midfielder,West Ham,8.1,13,0,0,1,8
Coufal,Defender,West Ham,4.4,13,0,0,1,8
Djenepo,Midfielder,Southampton,5.0,13,0,1,0,8
Douglas Luiz,Midfielder,Aston Villa,4.8,13,1,0,1,2
Gibbs-White,Midfielder,Nottm Forest,5.5,13,0,1,1,12
Guedes,Midfielder,Wolves,6.0,13,0,1,2,1
Iheanacho,Forward,Leicester,6.2,13,1,1,0,7
Kebano,Midfielder,Fulham,5.5,13,0,1,1,4
Koch,Defender,Leeds,4.5,13,0,0,1,10
Lavia,Midfielder,Southampton,4.5,13,1,0,0,9
S.Longstaff,Midfielder,Newcastle,4.4,13,0,1,1,3
Schlupp,Midfielder,Crystal Palace,4.9,13,0,0,2,8
Ayew,Midfielder,Crystal Palace,5.4,12,0,0,1,8
Barnes,Midfielder,Leicester,6.9,12,1,0,0,6
Cucurella,Defender,Chelsea,5.2,12,0,2,0,9
Estupinan,Defender,Brighton,4.5,12,0,1,1,2
Holgate,Defender,Everton,4.4,12,0,0,1,4
Kouyate,Midfielder,Nottm Forest,4.5,12,1,0,0,9
Mepham,Defender,Bournemouth,4.4,12,0,0,2,17
N.Williams,Defender,Nottm Forest,4.1,12,0,1,1,14
Ream,Defender,Fulham,4.5,12,0,0,1,9
