Name,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Haaland,2,2,90,0,0,0.43,0.02,1,0,0.29,0,0,1
J.Alvarez,2,7,90,1,0,0.11,0.02,1,0,0.29,0,2,33
Rodrigo,2,3,90,0,0,0,0.07,1,0,0.29,0,0,19
Foden,2,9,90,0,1,0.33,0.53,1,0,0.29,0,3,35
Ake,2,0,0,0,0,0,0,0,0,0,0,0,0
Ederson M.,2,6,90,0,0,0,0.01,1,0,0.29,1,0,25
Walker,2,6,90,0,0,0,0.05,1,0,0.29,0,0,25
Akanji,2,7,90,0,0,0.03,0.02,1,0,0.29,0,1,28
Ruben,2,7,90,0,0,0,0.01,1,0,0.29,0,1,28
Grealish,2,3,90,0,0,0.09,0.04,1,0,0.29,0,0,7
Kovačic,2,3,90,0,0,0.1,0.04,1,0,0.29,0,0,15
Gvardiol,2,6,90,0,0,0,0.01,1,0,0.29,0,0,24
R.Lewis,2,0,0,0,0,0,0,0,0,0,0,0,0
Bernardo,2,0,0,0,0,0,0,0,0,0,0,0,0
Sergio Gomez,2,0,0,0,0,0,0,0,0,0,0,0,0
Doku,2,0,0,0,0,0,0,0,0,0,0,0,0
Bobb,2,0,0,0,0,0,0,0,0,0,0,0,0
De Bruyne,2,0,0,0,0,0,0,0,0,0,0,0,0
Laporte,2,0,0,0,0,0,0,0,0,0,0,0,0
Matheus N.,2,-1,90,0,0,0.05,0.17,0,4,2.27,0,0,5
Phillips,2,0,0,0,0,0,0,0,0,0,0,0,0
Stones,2,0,0,0,0,0,0,0,0,0,0,0,0
Saka,2,3,88,0,0,0.16,0.11,1,0,0.8,0,0,15
Odegaard,2,11,89,1,0,0.83,0.09,1,0,0.8,0,3,32
Nketiah,2,5,78,0,1,0.81,0.02,1,0,0.47,0,0,6
Rice,2,3,90,0,0,0,0.23,1,0,1.06,0,0,20
Saliba,2,8,90,0,0,0,0.01,1,0,1.06,0,2,29
Martinelli,2,3,69,0,0,0.11,0.04,1,0,0.34,0,0,4
Fabio Vieira,2,0,0,0,0,0,0,0,0,0,0,0,0
Ramsdale,2,6,90,0,0,0,0.01,1,0,1.06,2,0,25
White,2,7,90,0,0,0,0.02,1,0,1.06,0,1,26
G.Jesus,2,0,0,0,0,0,0,0,0,0,0,0,0
Havertz,2,2,90,0,0,0.02,0.05,1,0,1.06,0,0,-1
Partey,2,3,90,0,0,0.07,0.05,1,0,1.06,0,0,21
Tomiyasu,2,3,66,0,0,0,0.03,1,0,1.79,0,0,13
Gabriel,2,1,20,0,0,0,0,0,0,0.73,0,0,5
