Name,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Fabio Vieira,4,4,13,0,1,0,0.01,0,0,0.06,0,0,15
Gabriel,4,2,90,0,0,0,0.01,0,1,0.96,0,0,16
Havertz,4,2,76,0,0,0.36,0.04,0,1,0.9,0,0,5
G.Jesus,4,6,14,1,0,0.67,0.04,0,0,0.06,0,2,25
Jorginho,4,1,1,0,0,0,0,0,0,0,0,0,3
Kiwior,4,0,0,0,0,0,0,0,0,0,0,0,0
Martinelli,4,5,89,0,1,0.14,0.16,0,1,0.96,0,0,20
Nketiah,4,2,75,0,0,0.09,0.06,0,1,0.9,0,0,8
Odegaard,4,7,90,1,0,0.34,0.06,0,1,0.96,0,0,24
Thomas,4,0,0,0,0,0,0,0,0,0,0,0,0
Ramsdale,4,2,90,0,0,0,0,0,1,0.96,1,0,10
Saka,4,4,90,0,1,0.45,0.24,0,1,0.96,0,0,22
Saliba,4,2,90,0,0,0,0.01,0,1,0.96,0,0,17
Smith Rowe,4,0,0,0,0,0,0,0,0,0,0,0,0
Tavares,4,0,18,0,0,0,0,0,0,0.59,0,0,4
Tomiyasu,4,1,14,0,0,0,0.02,0,0,0.06,0,0,3
Trossard,4,0,0,0,0,0,0,0,0,0,0,0,0
Turner,4,5,90,0,0,0,0,1,0,2.13,2,0,22
White,4,2,90,0,0,0,0.29,0,1,0.96,0,0,19
Zinchenko,4,2,75,0,0,0,0.03,0,1,0.9,0,0,15
Archer,4,12,74,1,1,0.17,0,0,2,2.49,0,3,32
Bailey,4,1,46,0,0,0,0.07,0,2,2.23,0,0,7
Cash,4,-1,90,0,0,0.06,0,0,3,2.47,0,0,0
Coutinho,4,0,0,0,0,0,0,0,0,0,0,0,0
Diego Carlos,4,1,18,0,0,0,0,0,1,0.06,0,0,3
Digne,4,1,90,0,0,0,0.23,0,3,2.47,0,0,17
Douglas Luiz,4,2,71,0,0,0,0.03,0,3,2.35,0,0,19
Duran,4,1,17,0,0,0.08,0.01,0,0,0.12,0,0,-1
Kamara,4,1,90,0,0,0,0.01,0,3,2.47,0,0,12
