Name,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Haaland,3,4,90,1,0,1.93,0.01,0,1,0.73,0,0,14
J.Alvarez,3,2,90,0,0,0.79,0.18,0,1,0.73,0,0,7
Rodrigo,3,10,90,1,0,0.27,0.09,0,1,0.73,0,3,39
Foden,3,4,4,0,1,0.02,0.18,0,0,0.41,0,0,16
Ake,3,2,90,0,0,0.11,0.01,0,1,0.73,0,0,15
Ederson M.,3,2,90,0,0,0,0,0,1,0.73,0,0,7
Walker,3,2,90,0,0,0.04,0.43,0,1,0.73,0,0,20
Akanji,3,0,0,0,0,0,0,0,0,0,0,0,0
Ruben,3,2,90,0,0,0.03,0.1,0,1,0.73,0,0,14
Grealish,3,7,90,0,1,0.29,0.47,0,1,0.73,0,2,33
Kovačic,3,2,85,0,0,0.05,0.21,0,1,0.32,0,0,19
Gvardiol,3,2,90,0,0,0,0.04,0,1,0.73,0,0,14
R.Lewis,3,0,0,0,0,0,0,0,0,0,0,0,0
Bernardo,3,2,90,0,0,0,0.76,0,1,0.73,0,0,17
Sergio Gomez,3,0,0,0,0,0,0,0,0,0,0,0,0
Doku,3,0,0,0,0,0,0,0,0,0,0,0,0
Bobb,3,0,0,0,0,0,0,0,0,0,0,0,0
De Bruyne,3,0,0,0,0,0,0,0,0,0,0,0,0
Laporte,3,0,0,0,0,0,0,0,0,0,0,0,0
Matheus N.,3,0,0,0,0,0,0,0,0,0,0,0,0
Phillips,3,0,0,0,0,0,0,0,0,0,0,0,0
Stones,3,0,0,0,0,0,0,0,0,0,0,0,0
Saka,3,8,90,1,0,1.36,1.08,0,2,0.53,0,1,26
Odegaard,3,2,83,0,0,0.11,0.14,0,1,0.29,0,0,10
Nketiah,3,5,45,1,0,0.43,0.1,0,1,0.25,0,0,24
Rice,3,2,90,0,0,0,0.07,0,2,0.42,0,0,20
Saliba,3,1,90,0,0,0.04,0.03,0,2,0.53,0,0,14
Martinelli,3,2,90,0,0,0.54,0.11,0,2,0.53,0,0,12
Fabio Vieira,3,7,34,0,2,0.04,0.22,0,1,0.25,0,0,22
Ramsdale,3,1,90,0,0,0,0,0,2,0.53,1,0,10
White,3,1,90,0,0,0,0.1,0,2,0.53,0,0,18
G.Jesus,3,1,1,0,0,0.14,0.01,0,0,0.12,0,0,1
Havertz,3,1,55,0,0,0.27,0.14,0,1,0.29,0,0,2
Partey,3,1,55,0,0,0,0.08,0,1,0.29,0,0,16
Tomiyasu,3,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel,3,0,0,0,0,0,0,0,0,0,0,0,0
Zinchenko,3,1,34,0,0,0,0.03,0,1,0.25,0,0,11
Jorginho,3,1,6,0,0,0,0.03,0,1,0.25,0,0,4
Kiwior,3,1,90,0,0,0.32,0.03,0,2,0.53,0,0,11
Trossard,3,1,45,0,0,0,0.68,0,1,0.29,0,0,10
Nelson,3,0,0,0,0,0,0,0,0,0,0,0,0
J.Timber,3,0,0,0,0,0,0,0,0,0,0,0,0
Raya,3,0,0,0,0,0,0,0,0,0,0,0,0
Smith Rowe,3,0,0,0,0,0,0,0,0,0,0,0,0
Tierney,3,0,0,0,0,0,0,0,0,0,0,0,0
Rashford,3,7,90,0,2,0.12,0.58,0,2,1.24,0,0,21
B.Fernandes,3,12,90,1,1,1.21,0.54,0,2,1.24,0,3,35
Eriksen,3,9,90,1,0,0.28,0.14,0,2,1.24,0,2,32
R.Varane,3,0,45,0,0,0,0.03,0,2,0.97,0,0,10
Casemiro,3,7,90,1,0,1.09,0.06,0,2,1.24,0,0,24
Wan-Bissaka,3,0,90,0,0,0,0.04,0,2,1.24,0,0,15
Onana,3,0,90,0,0,0,0,0,2,1.24,2,0,8
Antony,3,2,84,0,0,0.19,0.52,0,2,1.22,0,0,15
Garnacho,3,0,0,0,0,0,0,0,0,0,0,0,0
Shaw,3,0,0,0,0,0,0,0,0,0,0,0,0
Mount,3,0,0,0,0,0,0,0,0,0,0,0,0
Martial,3,1,59,0,0,0.04,0.02,0,2,1,0,0,3
Dalot,3,1,90,0,0,0,0.05,0,2,1.24,0,0,15
Lindelof,3,1,45,0,0,0,0.02,0,0,0.26,0,0,6
Sancho,3,1,30,0,0,0,0.01,0,0,0.23,0,0,0
McTominay,3,1,5,0,0,0,0,0,0,0.02,0,0,3
Pellistri,3,0,0,0,0,0,0,0,0,0,0,0,0
Hojlund,3,0,0,0,0,0,0,0,0,0,0,0,0
L.Martinez,3,1,90,0,0,0,0.04,0,2,1.24,0,0,18
Amrabat,3,0,0,0,0,0,0,0,0,0,0,0,0
Maguire,3,0,0,0,0,0,0,0,0,0,0,0,0
Malacia,3,0,0,0,0,0,0,0,0,0,0,0,0
Reguilon,3,0,0,0,0,0,0,0,0,0,0,0,0
Isak,3,2,71,0,0,0.16,0.02,1,0,0.4,0,0,5
Gordon,3,10,71,1,0,0.59,0.22,1,0,0.4,0,2,28
Barnes,3,1,18,0,0,0.08,0.01,0,2,0.56,0,0,3
Wilson,3,1,18,0,0,0.1,0,0,2,0.56,0,0,0
Tonali,3,3,71,0,0,0.03,0,1,0,0.4,0,0,13
Botman,3,2,86,0,0,0.09,0.01,0,1,0.51,0,0,15
Pope,3,1,90,0,0,0.02,0,0,2,0.95,2,0,14
Almiron,3,2,90,0,0,0.59,0.02,0,2,0.95,0,0,7
Longstaff,3,1,18,0,0,0.16,0.01,0,2,0.56,0,0,5
Bruno G.,3,2,90,0,0,0.02,0.03,0,2,0.95,0,0,7
Burn,3,1,90,0,0,0,0.01,0,2,0.95,0,0,15
Joelinton,3,2,81,0,0,0.05,0.06,0,1,0.47,0,0,17
Schar,3,1,90,0,0,0.1,0.01,0,2,0.95,0,0,11
Trippier,3,0,90,0,0,0,0.18,0,2,0.95,0,0,15
Anderson,3,1,8,0,0,0,0.01,0,1,0.48,0,0,4
J.Murphy,3,0,0,0,0,0,0,0,0,0,0,0,0
Lascelles,3,0,0,0,0,0,0,0,0,0,0,0,0
Livramento,3,0,0,0,0,0,0,0,0,0,0,0,0
Targett,3,1,3,0,0,0,0,0,1,0.45,0,0,3
Fraser,3,0,0,0,0,0,0,0,0,0,0,0,0
Salah,3,5,90,0,1,0.18,0.12,0,1,2,0,0,19
Darwin,3,11,13,2,0,0.52,0.09,0,0,0.4,0,3,50
Luis Diaz,3,1,32,0,0,0.07,0,0,1,0.65,0,0,3
Szoboszlai,3,2,90,0,0,0.07,0.02,0,1,2,0,0,10
A.Becker,3,5,90,0,0,0,0,0,1,2,7,1,24
Diogo J.,3,4,32,0,1,0,0.14,0,0,0.75,0,0,12
Alexander-Arnold,3,1,90,0,0,0,0.22,0,1,2,0,0,8
Robertson,3,2,90,0,0,0,0.06,0,1,2,0,0,13
Gomez,3,1,57,0,0,0.01,0,0,0,1.34,0,0,4
Matip,3,2,76,0,0,0.1,0.01,0,1,1.6,0,0,10
Gakpo,3,1,57,0,0,0,0,0,1,1.25,0,0,2
Elliott,3,1,32,0,0,0,0.01,0,0,0.75,0,0,3
Jones,3,0,0,0,0,0,0,0,0,0,0,0,0
Konate,3,0,0,0,0,0,0,0,0,0,0,0,0
Mac Allister,3,2,76,0,0,0,0.01,0,1,1.6,0,0,8
Endo,3,1,57,0,0,0,0,0,1,1.25,0,0,7
Quansah,3,1,13,0,0,0,0,0,0,0.4,0,0,2
Virgil,3,-2,27,0,0,0,0,0,1,3.47,0,0,-6
Doak,3,0,0,0,0,0,0,0,0,0,0,0,0
Tsimikas,3,0,0,0,0,0,0,0,0,0,0,0,0
Bajcetic,3,0,0,0,0,0,0,0,0,0,0,0,0
Gravenberch,3,0,0,0,0,0,0,0,0,0,0,0,0
Thiago,3,0,0,0,0,0,0,0,0,0,0,0,0
March,3,2,71,0,0,0.15,0.1,0,3,2.8,0,0,10
Ferguson,3,2,90,0,0,0.67,0.04,0,3,3.33,0,0,-2
Mitoma,3,1,90,0,0,0.07,0.38,0,3,3.33,0,0,10
Estupinan,3,1,90,0,0,0,0.17,0,3,3.33,0,0,16
Gross,3,10,90,1,0,0.16,0.3,0,3,3.33,0,3,39
Gilmour,3,1,59,0,0,0.18,0.29,0,2,2.18,0,0,12
Joao Pedro,3,1,30,0,0,0.05,0.11,0,1,1.15,0,0,6
Adingra,3,1,18,0,0,0,0.02,0,0,0.53,0,0,5
Enciso,3,0,0,0,0,0,0,0,0,0,0,0,0
Veltman,3,4,18,0,1,0.07,0.02,0,0,0.53,0,0,13
Dunk,3,1,90,0,0,0.17,0.07,0,3,3.33,0,0,15
Milner,3,2,71,0,0,0,0.11,0,3,2.8,0,0,9
Steele,3,0,0,0,0,0,0,0,0,0,0,0,0
Dahoud,3,0,0,0,0,0,0,0,0,0,0,0,0
Van Hecke,3,0,0,0,0,0,0,0,0,0,0,0,0
Verbruggen,3,2,90,0,0,0,0,0,3,3.33,4,0,16
Welbeck,3,1,59,0,0,0.04,0.19,0,2,2.18,0,0,3
Lallana,3,1,30,0,0,0,0.04,0,1,1.15,0,0,4
Webster,3,1,90,0,0,0,0.05,0,3,3.33,0,0,14
Ansu Fati,3,0,0,0,0,0,0,0,0,0,0,0,0
Lamptey,3,0,0,0,0,0,0,0,0,0,0,0,0
Diaby,3,12,72,1,1,0.18,0.1,0,1,0.28,0,2,42
Cash,3,17,90,2,0,1.35,0.02,0,1,0.73,0,3,45
Watkins,3,5,85,0,1,0.78,0.01,0,1,0.39,0,0,8
Bailey,3,0,0,0,0,0,0,0,0,0,0,0,0
McGinn,3,2,90,0,0,0,0.15,0,1,0.73,0,0,18
Digne,3,5,80,0,1,0,0.08,0,1,0.28,0,0,17
Douglas Luiz,3,2,85,0,0,0,0.13,0,1,0.39,0,0,12
Martinez,3,0,0,0,0,0,0,0,0,0,0,0,0
Duran,3,1,4,0,0,0,0,0,0,0.33,0,0,3
Kamara,3,3,90,0,0,0,0.03,0,1,0.73,0,1,23
Konsa,3,2,90,0,0,0,0.01,0,1,0.73,0,0,12
Pau,3,2,90,0,0,0,0.01,0,1,0.73,0,0,18
Diego Carlos,3,2,90,0,0,0.1,0.01,0,1,0.73,0,0,10
Tielemans,3,1,4,0,0,0,0,0,0,0.33,0,0,3
Coutinho,3,0,0,0,0,0,0,0,0,0,0,0,0
Olsen,3,2,90,0,0,0,0,0,1,0.73,1,0,12
Zaniolo,3,1,17,0,0,0.21,0.1,0,0,0.45,0,0,0
Bertrand Traore,3,1,9,0,0,0,0,0,0,0.45,0,0,3
Philogene,3,0,0,0,0,0,0,0,0,0,0,0,0
Lenglet,3,0,0,0,0,0,0,0,0,0,0,0,0
Mings,3,0,0,0,0,0,0,0,0,0,0,0,0
Maddison,3,10,72,1,0,1.08,0.44,1,0,0.54,0,2,34
Son,3,3,90,0,0,0.05,0.29,1,0,0.67,0,0,18
Romero,3,7,90,0,0,0,0,1,0,0.67,0,1,31
Udogie,3,12,81,0,1,0,0.34,1,0,0.54,0,3,36
Vicario,3,7,90,0,0,0,0,1,0,0.67,3,0,28
Pedro Porro,3,6,90,0,0,0.09,0.04,1,0,0.67,0,0,30
Sarr,3,4,58,0,1,0.07,0.41,0,0,0.51,0,0,15
Van de Ven,3,6,90,0,0,0,0,1,0,0.67,0,0,30
Kulusevski,3,8,90,1,0,0.35,0.19,1,0,0.67,0,0,26
Solomon,3,0,0,0,0,0,0,0,0,0,0,0,0
E.Royal,3,0,0,0,0,0,0,0,0,0,0,0,0
Bissouma,3,2,73,0,0,0.05,0.12,1,0,0.54,0,0,17
Johnson,3,2,69,0,0,0,0.02,0,2,2,0,0,7
Richarlison,3,0,59,0,0,0.26,0.04,0,0,0.51,0,0,-7
Davies,3,1,8,0,0,0.13,0.01,0,0,0.12,0,0,2
Perisic,3,0,31,0,0,0.04,0.02,0,0,0.16,0,0,2
Skipp,3,1,17,0,0,0,0.01,0,0,0.12,0,0,6
Hojbjerg,3,1,30,0,0,0,0.23,0,0,0.16,0,0,10
Lo Celso,3,1,16,0,0,0,0.02,0,0,0.12,0,0,8
Bentancur,3,0,0,0,0,0,0,0,0,0,0,0,0
Sanchez,3,0,0,0,0,0,0,0,0,0,0,0,0
