Id,Name,Team,Position,Price,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointRating,PointsInLastFive,MinutesInLastFive,GoalsInLastFive,xGoalsInLastFive,xAssistsInLastFive,CleanSheetsInLastFive,GoalsConcededInLastFive,xGoalsConcededInLastFive,SavesInLastFive,BonusPointsInLastFive,BonusPointsRatingInLastFive,Opponent,OpponentGoalsScored,OpponentGoalsConceded,OpponentGoalsScoredInLastFive,OpponentGoalsConcededInLastFive,ActualPoints
47,Kamara,AstonVilla,Midfielder,0,15,595,0,0,0.05,0.18,2,11,10.559999999999999,0,1,95,15,595,0,0.05,0.18,2,11,10.559999999999999,0,1,95,Brighton,14,7,0,0,2
48,Konsa,AstonVilla,Defender,0,19,630,0,0,0.21,0.04,2,11,11.55,0,1,127,19,630,0,0.21,0.04,2,11,11.55,0,1,127,Brighton,14,7,0,0,1
49,Martinez,AstonVilla,Goalkeeper,0,20,540,0,0,0,0,2,10,10.82,19,2,115,20,540,0,0,0,2,10,10.82,19,2,115,Brighton,14,7,0,0,2
50,McGinn,AstonVilla,Midfielder,0,25,567,1,1,1.09,0.6300000000000001,2,9,9.2,0,2,94,25,567,1,1.09,0.6300000000000001,2,9,9.2,0,2,94,Brighton,14,7,0,0,5
51,Mings,AstonVilla,Defender,0,0,30,0,0,0.01,0.16,0,2,1.08,0,0,5,0,30,0,0.01,0.16,0,2,1.08,0,0,5,Brighton,14,7,0,0,0
53,Olsen,AstonVilla,Goalkeeper,0,2,90,0,0,0,0,0,1,0.73,1,0,12,2,90,0,0,0,0,1,0.73,1,0,12,Brighton,14,7,0,0,0
58,Tielemans,AstonVilla,Midfielder,0,7,136,0,0,0.08,0.14,0,3,3.6700000000000004,0,0,27,7,136,0,0.08,0.14,0,3,3.6700000000000004,0,0,27,Brighton,14,7,0,0,1
59,Bertrand Traore,AstonVilla,Midfielder,0,1,9,0,0,0,0,0,0,0.45,0,0,3,1,9,0,0,0,0,0,0.45,0,0,3,Brighton,14,7,0,0,0
60,Watkins,AstonVilla,Forward,0,54,590,4,6,2.9800000000000004,0.53,2,11,10.86,0,6,187,54,590,6,2.9800000000000004,0.53,2,11,10.86,0,6,187,Brighton,14,7,0,0,23
584,Pau,AstonVilla,Defender,0,21,599,0,0,0.03,0.07,2,9,10.469999999999999,0,2,120,21,599,0,0.03,0.07,2,9,10.469999999999999,0,2,120,Brighton,14,7,0,0,2
