Name,Week,FixtureIds,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Fabio Vieira,3,21,7,34,0,2,0.04,0.22,0,1,0.25,0,0,22
Gabriel,3,21,0,0,0,0,0,0,0,0,0,0,0,0
Havertz,3,21,1,55,0,0,0.27,0.14,0,1,0.29,0,0,2
G.Jesus,3,21,1,1,0,0,0.14,0.01,0,0,0.12,0,0,1
Jorginho,3,21,1,6,0,0,0,0.03,0,1,0.25,0,0,4
Kiwior,3,21,1,90,0,0,0.32,0.03,0,2,0.53,0,0,11
Martinelli,3,21,2,90,0,0,0.54,0.11,0,2,0.53,0,0,12
Nketiah,3,21,5,45,1,0,0.43,0.1,0,1,0.25,0,0,24
Odegaard,3,21,2,83,0,0,0.11,0.14,0,1,0.29,0,0,10
Thomas,3,21,1,55,0,0,0,0.08,0,1,0.29,0,0,16
Ramsdale,3,21,1,90,0,0,0,0,0,2,0.53,1,0,10
Saka,3,21,8,90,1,0,1.36,1.08,0,2,0.53,0,1,26
Saliba,3,21,1,90,0,0,0.04,0.03,0,2,0.53,0,0,14
Smith Rowe,3,21,0,0,0,0,0,0,0,0,0,0,0,0
Tavares,3,21,0,0,0,0,0,0,0,0,0,0,0,0
Tomiyasu,3,21,0,0,0,0,0,0,0,0,0,0,0,0
Trossard,3,21,1,45,0,0,0,0.68,0,1,0.29,0,0,10
Turner,3,28,3,90,0,0,0,0,0,3,2.91,7,0,23
White,3,21,1,90,0,0,0,0.1,0,2,0.53,0,0,18
Zinchenko,3,21,1,34,0,0,0,0.03,0,1,0.25,0,0,11
Archer,3,25,0,0,0,0,0,0,0,0,0,0,0,0
Bailey,3,25,0,0,0,0,0,0,0,0,0,0,0,0
Cash,3,25,17,90,2,0,1.35,0.02,0,1,0.73,0,3,45
Coutinho,3,25,0,0,0,0,0,0,0,0,0,0,0,0
Diego Carlos,3,25,2,90,0,0,0.1,0.01,0,1,0.73,0,0,10
Digne,3,25,5,80,0,1,0,0.08,0,1,0.28,0,0,17
Douglas Luiz,3,25,2,85,0,0,0,0.13,0,1,0.39,0,0,12
Duran,3,25,1,4,0,0,0,0,0,0,0.33,0,0,3
Kamara,3,25,3,90,0,0,0,0.03,0,1,0.73,0,1,23
Konsa,3,25,2,90,0,0,0,0.01,0,1,0.73,0,0,12
Martinez,3,25,0,0,0,0,0,0,0,0,0,0,0,0
McGinn,3,25,2,90,0,0,0,0.15,0,1,0.73,0,0,18
Mings,3,25,0,0,0,0,0,0,0,0,0,0,0,0
Nakamba,3,26,1,90,0,0,0,0.02,0,3,2.09,0,0,11
Olsen,3,25,2,90,0,0,0,0,0,1,0.73,1,0,12
Tielemans,3,25,1,4,0,0,0,0,0,0,0.33,0,0,3
Bertrand Traore,3,25,1,9,0,0,0,0,0,0,0.45,0,0,3
Watkins,3,25,5,85,0,1,0.78,0.01,0,1,0.39,0,0,8
Billing,3,22,2,85,0,0,0.29,0.03,0,2,1.83,0,0,7
Brooks,3,22,1,17,0,0,0,0.01,0,0,0.28,0,0,5
Christie,3,22,1,59,0,0,0.02,0.15,0,1,1.34,0,0,4
L.Cook,3,22,1,45,0,0,0.03,0.01,0,1,0.72,0,0,5
Kelly,3,22,0,90,0,0,0,0.01,0,2,2.06,0,0,9
Kluivert,3,22,1,59,0,0,0.03,0.02,0,1,1.34,0,0,0
Lowe,3,22,0,0,0,0,0,0,0,0,0,0,0,0
Mepham,3,22,0,0,0,0,0,0,0,0,0,0,0,0
Moore,3,22,1,4,0,0,0,0.01,0,0,0.23,0,0,3
N.Neto,3,22,2,90,0,0,0,0,0,2,2.06,4,0,15
Rothwell,3,22,1,45,0,0,0,0.02,0,1,1.34,0,0,4
Semenyo,3,22,2,72,0,0,0.17,0.02,0,2,1.78,0,0,-4
Senesi,3,22,0,0,0,0,0,0,0,0,0,0,0,0
Solanke,3,22,2,90,0,0,0.07,0.04,0,2,2.06,0,0,3
Tavernier,3,22,0,0,0,0,0,0,0,0,0,0,0,0
Hamed Traorè,3,22,1,30,0,0,0,0.01,0,1,0.72,0,0,0
Zabarnyi,3,22,1,90,0,0,0,0.02,0,2,2.06,0,0,18
Ajer,3,23,0,0,0,0,0,0,0,0,0,0,0,0
Collins,3,23,2,90,0,0,0.05,0.07,0,1,0.8,0,0,12
Damsgaard,3,23,0,0,0,0,0,0,0,0,0,0,0,0
Dasilva,3,23,0,0,0,0,0,0,0,0,0,0,0,0
Flekken,3,23,4,90,0,0,0,0,0,1,0.8,4,1,22
Henry,3,23,2,90,0,0,0.05,0.04,0,1,0.8,0,0,14
Hickey,3,23,2,90,0,0,0,0.01,0,1,0.8,0,0,13
Janelt,3,23,2,90,0,0,0.04,0.02,0,1,0.8,0,0,4
Jensen,3,23,3,71,0,0,0,0.07,1,0,0.64,0,0,14
Lewis-Potter,3,23,1,10,0,0,0,0,0,0,0.04,0,0,2
Mbeumo,3,23,2,90,0,0,0.04,0.25,0,1,0.8,0,0,10
