Id,Name,Team,Position,Price
4,Fabio Vieira,Arsenal,Midfielder,5.4
5,Gabriel,Arsenal,Defender,4.7
6,Havertz,Arsenal,Midfielder,7.2
8,G.Jesus,Arsenal,Forward,7.9
9,Jorginho,Arsenal,Midfielder,5.4
10,Kiwior,Arsenal,Defender,4.4
12,Martinelli,Arsenal,Midfielder,7.8
13,Nketiah,Arsenal,Forward,5.5
14,Odegaard,Arsenal,Midfielder,8.5
15,Thomas,Arsenal,Midfielder,4.8
17,Ramsdale,Arsenal,Goalkeeper,4.9
19,Saka,Arsenal,Midfielder,8.7
20,Saliba,Arsenal,Defender,5.2
22,Smith Rowe,Arsenal,Midfielder,5.3
25,Tomiyasu,Arsenal,Defender,4.5
26,Trossard,Arsenal,Midfielder,6.6
29,White,Arsenal,Defender,5.5
31,Zinchenko,Arsenal,Defender,4.9
113,Raya,Arsenal,Goalkeeper,4.8
540,Rice,Arsenal,Midfielder,5.4
585,J.Timber,Arsenal,Defender,4.7
34,Bailey,AstonVilla,Midfielder,5.5
36,Cash,AstonVilla,Defender,4.7
38,Coutinho,AstonVilla,Midfielder,5.8
41,Diego Carlos,AstonVilla,Defender,4.4
42,Digne,AstonVilla,Defender,4.6
43,Douglas Luiz,AstonVilla,Midfielder,5.4
44,Duran,AstonVilla,Forward,5
47,Kamara,AstonVilla,Midfielder,5
48,Konsa,AstonVilla,Defender,4.5
49,Martinez,AstonVilla,Goalkeeper,4.9
50,McGinn,AstonVilla,Midfielder,5.5
51,Mings,AstonVilla,Defender,4.2
53,Olsen,AstonVilla,Goalkeeper,4
58,Tielemans,AstonVilla,Midfielder,5.8
59,Bertrand Traore,AstonVilla,Midfielder,5
60,Watkins,AstonVilla,Forward,7.9
584,Pau,AstonVilla,Defender,4.5
599,Diaby,AstonVilla,Midfielder,6.6
672,Zaniolo,AstonVilla,Midfielder,5.5
699,Lenglet,AstonVilla,Defender,4.5
63,Billing,Bournemouth,Midfielder,5.3
64,Brooks,Bournemouth,Midfielder,4.9
65,Christie,Bournemouth,Midfielder,5
66,L.Cook,Bournemouth,Midfielder,5
70,Kelly,Bournemouth,Defender,4.5
72,Kluivert,Bournemouth,Midfielder,4.8
73,Lowe,SheffieldUtd,Defender,4.9
